sector,quarter,income_growth,saving_rate,debt_income,interest_burden
Households,1997K4,1.2,-11.3,100.1,7.4
Households,1998K1,2.8,-2.9,100.4,7.5
Households,1998K2,0.7,5.3,101.4,6.5
Households,1998K3,2.5,-0.9,102.7,7
Households,1998K4,4.2,-10.4,103.3,6.8
Households,1999K1,2.7,-4,103.9,6.7
Households,1999K2,4.4,6.5,104.8,5.6
Households,1999K3,1.5,-2.5,105.9,6.4
Households,1999K4,1.6,-14.1,107.8,6.5
Households,2000K1,5.8,-2.3,108.2,6.6
Households,2000K2,2.3,3.5,110,5.9
Households,2000K3,6.5,0.1,110.4,6.4
Households,2000K4,5,-10.2,111.2,6.5
Households,2001K1,6,-0.5,111,6.4
Households,2001K2,5.8,8.2,111.4,5.7
Households,2001K3,5.2,3.1,111.7,6.3
Households,2001K4,5.1,-4.1,112.2,6.3
Households,2002K1,4.8,2.7,112,6.3
Households,2002K2,5.9,10.8,112.2,5.7
Households,2002K3,3.9,4,112.8,6.5
Households,2002K4,3.5,-4.1,113.9,6.4
Households,2003K1,0.4,2.6,115.1,6.4
Households,2003K2,0.3,10.6,117,5.4
Households,2003K3,1.2,3.5,118.4,5.8
Households,2003K4,0.6,-5.7,121,6
Households,2004K1,2.3,1.2,122.8,5.9
Households,2004K2,-0.4,7.6,126.2,5.1
Households,2004K3,1.6,2.8,128.2,5.5
Households,2004K4,3,-5,131.2,5.6
Households,2005K1,1.8,2.1,132.8,5.6
Households,2005K2,5.8,9.5,134.4,4.7
Households,2005K3,1.1,-1.1,137.3,5.2
Households,2005K4,4.4,-5,139.6,5.1
Households,2006K1,4.5,3.6,140.6,5.2
Households,2006K2,7.4,13.1,141.8,4.6
Households,2006K3,4.5,1.4,143.4,5.6
Households,2006K4,4.6,-3.8,145.6,5.9
Households,2007K1,7,6.5,145.5,6.3
Households,2007K2,9.1,18.2,145.1,5.4
Households,2007K3,5.4,2,146.2,6.8
Households,2007K4,3,-3.6,148.3,7.2
Households,2008K1,2.8,5.4,149.5,7.4
Households,2008K2,6,21.1,150.2,6.2
Households,2008K3,3.4,5.7,150.3,8.1
Households,2008K4,0.8,-0.7,151,8.2
Households,2009K1,3,8.7,151.2,6.2
Households,2009K2,-0.2,18.4,154.1,4.4
Households,2009K3,2.7,5.1,155.5,4.8
Households,2009K4,4.6,0.5,156.9,4.6
Households,2010K1,1.7,8.7,158,4.4
Households,2010K2,2,19.2,159.9,3.7
Households,2010K3,3.7,6.5,161.4,4.7
Households,2010K4,4.2,1.6,162,5.2
Households,2011K1,3.9,8.8,161.9,5.9
Households,2011K2,4.7,20.6,161.5,5.3
Households,2011K3,3,7.5,161.6,6.7
Households,2011K4,2.3,1.7,162.2,6.9
Households,2012K1,3,9.6,162.4,6.9
Households,2012K2,4.5,23.2,162,5.4
Households,2012K3,3.5,8.9,162.1,6.4
Households,2012K4,4.7,4.3,161.7,6.1
Households,2013K1,4.8,12.7,161.4,5.8
Households,2013K2,0.3,22,163.3,4.8
Households,2013K3,2.2,9,164,5.6
Households,2013K4,2,4,164.6,5.5
Households,2014K1,1.6,13,165.5,5.5
Households,2014K2,4.3,23.5,165.6,4.4
Households,2014K3,1.9,9.7,166.6,5.2
Households,2014K4,2.3,4.7,168.2,4.9
Households,2015K1,1.6,10,169.4,4.7
Households,2015K2,4,22.6,170.3,3.5
Households,2015K3,1.3,6.2,172.4,4.2
Households,2015K4,1.4,1,174.6,4.1
