"date","target_variable","shock_gdp_growth_mean","shock_consumption_growth_mean","shock_cpi_growth_mean","shock_saving_rate_mean","shock_policy_rate_mean","shock_interest_burden_mean","shock_debt_growth_mean","shock_real_house_price_growth_mean","shock_asset_liability_ratio_mean","total_decomposed_mean"
101,"policy_rate",-0.186186816394937,-0.201886051288865,-0.217022200614007,-0.262660667374225,-0.388242464061282,-0.126504540574443,-0.203338436596272,-0.129918718873501,-0.0561005948093168,-1.77186049058685
102,"policy_rate",-0.0997243263783347,-0.12687274521105,-0.12826854096583,-0.184548299298002,-0.355675961092509,-0.047468254181155,-0.127613122109443,-0.0474517648564367,0.0221510442995756,-1.09547196979319
103,"policy_rate",0.0280882315856963,-0.00700903094189864,-0.00166535367500586,-0.0638508272615486,-0.194750695260428,0.072584907757088,-0.00475458186035418,0.0788015422107717,0.146017902504197,0.0534620950585178
104,"policy_rate",0.109987705376769,0.0763851701154638,0.0723465763114902,0.011318817519804,-0.0858464506787698,0.145920914722911,0.0723785138049609,0.16057349631802,0.229526570792552,0.792591314283202
105,"policy_rate",0.177715694467176,0.145573437829694,0.12958736740216,0.0756037229167849,-0.0324492980904295,0.207316590527502,0.138084085382533,0.225933695619327,0.29470295329219,1.36206824934694
106,"policy_rate",0.2269853479389,0.195602643317964,0.170338613688512,0.117186010067485,0.0169142223644435,0.250885044615109,0.183586155042053,0.268019072027547,0.335219032856545,1.76473614191856
107,"policy_rate",0.254546309266064,0.226339427126797,0.192997323046533,0.139511759122878,0.0453331293144715,0.276414964628497,0.209571718461644,0.292162063272322,0.360958344628738,1.99783503886795
108,"policy_rate",0.250246418373496,0.227299741353222,0.1804979738376,0.129170137224949,0.0724826386302389,0.275235702311996,0.204809607878385,0.286358064036018,0.35813101168809,1.98423129533399
109,"policy_rate",0.230290101593488,0.214300820484166,0.154334521004533,0.106710889867411,0.0603123990504375,0.263843391122134,0.193219125788327,0.270472857058997,0.347078475455246,1.84056258142474
110,"policy_rate",0.184266845142545,0.180125246281757,0.104612960056169,0.0622442074631718,0.126069228374826,0.226288664943432,0.164797192060658,0.230737517297718,0.315655900048758,1.59479776166903
111,"policy_rate",0.0977166152605349,0.102301773253902,0.0225366555335541,-0.0237278576263553,0.0953942402966343,0.153146268636813,0.0920189145627023,0.161051510633599,0.2422175998393,0.942655720390685
112,"policy_rate",0.0203550673034263,0.0240386015950713,-0.052404477831873,-0.10035961642988,0.0137933353352314,0.0803511536711912,0.0255103951037106,0.0917983963733143,0.173727930464794,0.276810785584987
113,"policy_rate",-0.00191678673580645,-0.00221849254670159,-0.0716106063745117,-0.127361419302391,0.0548167356981682,0.056505606893932,0.00566179323042301,0.0693717473212043,0.154145711976876,0.137394290161192
114,"policy_rate",-0.0338643070877592,-0.0326764505154065,-0.104354159227932,-0.163917091629503,0.0588617676272902,0.0196783669617416,-0.0260935958242414,0.0394067611000194,0.129017137924581,-0.11394157067121
115,"policy_rate",-0.0651877057492451,-0.0644095786668796,-0.138643984693044,-0.204717054094148,0.051907865793596,-0.0140524023148977,-0.0621612847599008,0.0113890386847161,0.102635211916488,-0.383239893883315
1,"interest_burden",-0.00426245168013334,-0.00367490159224063,-0.00340098343088722,0.000888212065307969,-0.00195010082114794,-0.00261498264693274,0.00399112746778497,0.00106913027931604,-0.00228200983265588,-0.0122369601915888
2,"interest_burden",0.03732321779938,0.0298890775078736,0.0426938853592667,0.0517202068502846,0.0322004172644299,0.045223077458699,0.0417797179918311,0.0422262015528476,0.0385607499710753,0.361616551755688
3,"interest_burden",0.0336677319642727,0.0259395748082516,0.0360831552386187,0.0303343582949608,0.000140370574173768,0.0297012730813747,0.0272946823497313,0.0377032654357478,0.0349387817440517,0.255803193491183
4,"interest_burden",0.0338047803271101,0.0224029233977916,0.0395727542128246,0.0313025137065178,0.00141536573916941,0.0181966906997553,0.0266776757557638,0.0323450477115502,0.0354174871128139,0.241135238663297
5,"interest_burden",-0.00329982870770009,-0.0198962346853402,-0.00159413982549374,-0.00229761187080938,-0.0161707028758703,-0.0260665743891743,0.00129087568490153,-0.00906970868440233,-0.00295334592751496,-0.0800572712814038
6,"interest_burden",0.0263357992496448,0.00621976428644579,0.0322112910690882,0.0286794825226198,0.0251295675890003,0.0188979132487673,0.0228970070702348,0.0178512589361495,0.0299740351197071,0.208196119091657
7,"interest_burden",0.00398610886904566,-0.0158501922975981,0.0101096625826242,0.00043334787915851,-0.0233669567532001,-0.00425277920096074,-0.00672904305682643,-0.00283612951914209,0.00767269179163493,-0.0308332897052641
8,"interest_burden",-0.0109946566969544,-0.036069536291164,-0.0102701561119054,-0.0144445605471106,-0.0803514417620166,-0.0214980237127307,-0.0295375383800777,-0.0293626644462154,-0.015343956290415,-0.24787253423859
9,"interest_burden",-0.084029266662996,-0.0996128750871603,-0.0809369364356051,-0.0912591877895478,-0.207142588235295,-0.0933755351898742,-0.0969244365061208,-0.0978337860538853,-0.0812772154916091,-0.932391827452094
10,"interest_burden",-0.0248472985477338,-0.0384474741999781,-0.0278404960740837,-0.0327545599490704,-0.0379353513558309,-0.0278657800091942,-0.0442743203980217,-0.0407627873876683,-0.0108712958616505,-0.285599363783231
11,"interest_burden",-0.0175022385294495,-0.0286383806735742,-0.0147713361844286,-0.0166307582312133,-0.0604606971576631,-0.0183705344620817,-0.0214394513848864,-0.0149765277790814,0.0158417833055796,-0.176948141096799
12,"interest_burden",-0.0197694753223455,-0.0199392757606624,-0.0150180279655914,-0.0254989666971746,-0.00493750818586694,-0.0191755389277668,-0.0265685222164151,-0.0416825319643601,0.00044123040715262,-0.17214861663303
13,"interest_burden",-0.0610054176553835,-0.0540920627081146,-0.0581464004662288,-0.0704716251313304,-0.111019602617107,-0.0594022476209765,-0.0612370247266262,-0.0671805915131976,-0.0385690949589184,-0.581124067397883
14,"interest_burden",-0.0208461352065787,-0.0166408183818468,-0.0166834253927221,-0.0290932072171482,-0.00469373461143878,-0.014838117290674,-0.0325724374915021,-0.0377435065983394,-0.00352726556018831,-0.176638647750438
15,"interest_burden",-0.0181292807974589,-0.0190764614961757,-0.00287232756215312,-0.0214498485999629,0.0658451815037084,-0.0049575610359188,-0.0135610235193936,-0.0182091269254757,0.0047774876438382,-0.0276329607889921
16,"interest_burden",-0.0392361694887296,-0.0403023210399774,-0.0117824352441246,-0.0444379026220244,0.067352486889871,-0.0207974139541921,-0.0297818200572791,-0.0557794080670712,-0.0206818284500347,-0.195446812033562
17,"interest_burden",-0.0784917350705266,-0.0722232482751679,-0.0482870534147564,-0.0856249878672634,-0.150281311695817,-0.0564175771801149,-0.0636991278886204,-0.079038372281796,-0.0470733613627177,-0.68113677503678
18,"interest_burden",-0.015319026740177,-0.00964189717297145,0.00923711186579068,-0.0302557775508265,-0.0459366975459641,-0.0129118272827416,-0.0113204326002972,-0.0322983553480927,0.00628850740210078,-0.142158394973179
19,"interest_burden",-0.00981078229606528,-0.0261816525008605,0.0153611210780441,-0.0244864622579573,-0.0243452493205259,-0.00752273178074238,-0.00744216325996356,-0.00958645323545572,0.0155234267217884,-0.078490946851738
20,"interest_burden",-0.0206816725315614,-0.0234411478525012,0.000334081217774601,-0.0305715422234862,0.0078089524732806,-0.0188168628509087,-0.00700577117693473,-0.0398407070962473,0.0012297832497068,-0.130984886790878
21,"interest_burden",-0.0697834203974263,-0.0647065615409205,-0.0523718172977119,-0.0920460758139643,-0.061096167941736,-0.0650965682335479,-0.0533697165431719,-0.0737068415061907,-0.040930295868465,-0.573107465143134
22,"interest_burden",0.0281350109804549,0.0211797490667984,0.0398333318027486,0.000127741802848415,-0.0104915237576301,0.0184821821350207,0.0299127247032848,0.00494988705985214,0.0507755724750816,0.182904676268459
23,"interest_burden",0.0259997945250981,0.00219098132275238,0.0331540397464158,-0.00344922593158639,-0.0186172084697908,0.0182242552141909,0.0228826662698356,0.0175123685237282,0.0498785130177904,0.147776184218434
24,"interest_burden",0.032533851470896,0.00874243364392712,0.0200950652677851,0.0150969056559959,-0.088353213164676,0.0250657299417476,0.0336591698389472,0.0170750131796136,0.0418604467558213,0.105775402590058
25,"interest_burden",-0.058897543206251,-0.0895561843810552,-0.0682575183127948,-0.0874660598373459,-0.208221932343244,-0.0695214813503515,-0.0657430997199873,-0.0787524694640795,-0.048657677647891,-0.775073966263
26,"interest_burden",-0.0177521485619152,-0.0548672694946274,-0.0420771075256906,-0.0546959692774535,-0.100541845682453,-0.0336875868929175,-0.0358808258142675,-0.0569959991868455,-0.0115475698140824,-0.408046322250252
27,"interest_burden",-0.0111938127333162,-0.0397007017211449,-0.0313247352662333,-0.0442833628981428,0.00617350292674831,-0.00491708073177394,-0.015821000075477,-0.0198978508524801,0.0153940338410968,-0.145571007510723
28,"interest_burden",-0.0207497962503408,-0.0465408078047936,-0.0493222585654088,-0.0525823370780887,-0.0226496230856618,-0.0264550970843421,-0.0213438581262767,-0.0346580871034921,-0.00396578777311777,-0.278267652871522
29,"interest_burden",-0.0861494501602593,-0.119961736391455,-0.114064582690743,-0.128841474423092,-0.167361335722415,-0.0944472120878662,-0.099143019464579,-0.101656149561541,-0.0732750911593412,-0.984900051661293
30,"interest_burden",-0.0707855004569356,-0.0990605821266585,-0.0943694827132335,-0.102000989023318,0.0627815781556326,-0.0804955692677059,-0.0719484678945262,-0.0914532113273025,-0.0626129609430816,-0.609945185597129
31,"interest_burden",-0.0677559386414087,-0.0929251000487788,-0.0810314767631123,-0.100311279173693,0.120275551215076,-0.0607994913742466,-0.0585915441478973,-0.0657246012668211,-0.0446969111092244,-0.451560791310107
32,"interest_burden",-0.0751153987848217,-0.0897808699491545,-0.0962605641133544,-0.0915336381780263,0.128158127955194,-0.0809582726810076,-0.0535473447723945,-0.0658320257701315,-0.0520161449224653,-0.476886131216162
33,"interest_burden",-0.16002901558532,-0.176978181482418,-0.174947128585823,-0.176424165638244,-0.0284573174827198,-0.16566953104438,-0.14389792146983,-0.147031718296047,-0.128166983003444,-1.30160196258823
34,"interest_burden",-0.103015862112381,-0.116379367181444,-0.118411884782453,-0.111324715953881,-0.00299609145755673,-0.105165591765829,-0.0869242520657117,-0.0998955798877893,-0.0771039159320046,-0.82121726113905
35,"interest_burden",-0.127014981818457,-0.129250425834761,-0.133274242469832,-0.13024283790823,0.0744752285863878,-0.109044656145772,-0.10405404368744,-0.111559367492785,-0.0978487316268131,-0.867814058397702
