quarter,cpi_index,cpi_log,cpi_growth_qoq,cpi_growth_yoy
1993Q2,243.03333333333333,5.493198608144275,0.5225534443018098,4.732367723862385
1993Q3,242.9,5.492649836008127,-0.05487721361481235,4.433325218388351
1993Q4,244.93333333333334,5.500986064672861,0.8336228664734158,4.281999718292795
1994Q1,245.93333333333334,5.505060496494465,0.4074431821604385,1.7087422793208518
1994Q2,248.16666666666669,5.514100563455954,0.9040066961488513,2.0901955311678933
1994Q3,249.2,5.518255786913298,0.41552234573440927,2.560595090517115
1994Q4,250.73333333333335,5.524389957368126,0.6134170454828336,2.3403892695265327
1995Q1,252.3,5.530618855647012,0.6228898278886064,2.5558359152547006
1995Q2,255.13333333333333,5.541786284323492,1.1167428676479574,2.7685720867538066
1995Q3,255.16666666666666,5.541916926429629,0.013064210613666916,2.3661139516330643
1995Q4,256.56666666666666,5.547388539872162,0.5471613442533219,2.2998582504035525
1996Q1,256.1333333333333,5.545698142226292,-0.16903976458699788,1.5079286579279483
1996Q2,257.06666666666666,5.549335454628226,0.363731240193399,0.7549170304733899
1996Q3,255.4,5.542830943598439,-0.6504511029786997,0.09140171688102328
1996Q4,255.36666666666667,5.542700420854666,-0.013052274377312045,-0.4688119017496106
1997Q1,254.66666666666666,5.539955500498411,-0.2744920356255065,-0.5742641727881193
1997Q2,257.1333333333333,5.549594757106018,0.9639256607607116,0.025930247779193394
1997Q3,258.1666666666667,5.553605371188814,0.4010614082796238,1.0774427590375169
1997Q4,259.3,5.5579856925446185,0.4380321355804462,1.528527168995275
1998Q1,256.8333333333333,5.548427366092061,-0.9558326452557608,0.8471865593650207
1998Q2,257.8,5.552184090505087,0.37567244130265465,0.25893333990696377
1998Q3,256.5,5.547128664610824,-0.5055425894263443,-0.6476706577990043
1998Q4,256.73333333333335,5.548037932712699,0.09092681018749715,-0.9947759831919534
1999Q1,256.6,5.547518452181536,-0.05194805311630191,-0.09089139105249444
1999Q2,258.3,5.554121700101795,0.6603247920258681,0.19376095967071905
1999Q3,258.2,5.553734478412542,-0.03872216892526481,0.6605813801717986
1999Q4,259.43333333333334,5.558499765297233,0.47652868846910224,1.0461832584534037
2000Q1,258.7,5.5556690891919835,-0.2830676105249452,0.8150637010447603
2000Q2,260.8333333333333,5.563881633746199,0.8212544554215384,0.9759933644404306
2000Q3,260.73333333333335,5.563498173653304,-0.03834600928946941,0.976369524076226
2000Q4,262.6,5.5706319618686955,0.7133788215391235,1.2132196571462472
2001Q1,262.9666666666667,5.572027281432934,0.13953195642386618,1.6358192240950586
2001Q2,267.96666666666664,5.590862594665805,1.883531323287091,2.698096091960611
2001Q3,268.1333333333333,5.591484369230387,0.062177456458201164,2.7986195577082817
