quarter,kix_index,kix_nominal_log,kix_real_log,cpi_log,kix_cpi_log
2006Q2,113.11861384615383,4.72843694823791,3.8828434014625373,5.651037835179039,4.805444288403667
2006Q3,111.66025184782607,4.715460795367993,3.8709505321683055,5.652032935854117,4.80752267265443
2006Q4,110.27965184782607,4.703019429166809,3.8547070393592024,5.657075139890874,4.808762750083268
2007Q1,110.65840655555556,4.706448037904475,3.8598691142457104,5.658075884714665,4.811496961055901
2007Q2,111.0849102197802,4.710294865816857,3.8583718566743945,5.668983969113506,4.817060959971043
2007Q3,111.1395329347826,4.710786465348637,3.858102719634938,5.671259282950641,4.818575537236942
2007Q4,110.42112576086956,4.704301472066285,3.840392733879118,5.6880143644065475,4.82410562621938
2008Q1,110.51225956043956,4.70512646105205,3.8458949112915377,5.689739893066246,4.830508343305734
2008Q2,108.67313351648352,4.68834460181578,3.818979683172751,5.707232073498217,4.837867154855187
2008Q3,110.94108923913043,4.708999332851203,3.8374350894263953,5.713919806725422,4.8423555633006155
2008Q4,120.73636826086955,4.793609393910345,3.9212199440771673,5.7122024822465125,4.8398130324133355
2009Q1,126.83788422222224,4.842909768848448,3.9849908005749235,5.697797936308945,4.83987896803542
2009Q2,125.0012402197802,4.828323659011322,3.969503508938047,5.702537255247769,4.843717105174494
2009Q3,120.44448065217392,4.791188905281007,3.934737772986014,5.70219232214468,4.845741189849688
2009Q4,119.21108467391304,4.780895742538554,3.920920489711884,5.7080290009425205,4.84805374811585
2010Q1,117.15785688888889,4.763522229618184,3.9086489754969094,5.707885158239801,4.853011904118526
2010Q2,116.35771087912087,4.756669160686162,3.8997330320436445,5.712907382433202,4.855971253790684
2010Q3,113.37949847826089,4.730740585515947,3.8740781922074516,5.713402718033191,4.856740324724695
2010Q4,110.11448010869566,4.701520552871079,3.835810083784235,5.7267174459386965,4.861006976851853
2011Q1,106.338759,4.66662983789337,3.8035922933052895,5.730402767372196,4.867365222784115
2011Q2,106.72176912087912,4.6702251592495445,3.8013592022299205,5.7416561270842825,4.8727901700646585
2011Q3,108.7926520652174,4.689443795975891,3.8209015896377494,5.742757431118054,4.874215224779913
2011Q4,108.55065521739132,4.687216932394442,3.8143835137254127,5.749775078506674,4.876941659837645
2012Q1,107.25316087912088,4.675192029440229,3.8093435902599655,5.747873785798793,4.882025346618529
2012Q2,108.37050164835163,4.685555926957609,3.8178327320087053,5.75275251682651,4.885029321877607
2012Q3,103.83308097826088,4.642784619170514,3.77948802180498,5.748957647000662,4.885661049635129
