quarter,house_price_index,house_price_nominal_log,cpi_log,house_price_real_log
2002Q3,309,5.733341276897746,5.609715965617133,0.1236253112806125
2002Q4,310,5.736572297479192,5.617013492528987,0.11955880495020477
2003Q1,312,5.7430031878094825,5.627860893094735,0.11514229471474735
2003Q2,319,5.765191102784844,5.628819436182746,0.13637166660209843
2003Q3,326,5.786897381366708,5.625460507880731,0.16143687348597702
2003Q4,329,5.796057750765372,5.629777061345705,0.16628068941966667
2004Q1,336,5.817111159963204,5.6284600901885815,0.18865106977462265
2004Q2,350,5.857933154483459,5.632883024898668,0.22505012958479131
2004Q3,358,5.8805329864007,5.631092300370718,0.24944068602998204
2004Q4,362,5.8916442118257715,5.634551479581983,0.25709273224378837
2005Q1,364,5.8971538676367405,5.631092300370718,0.26606156726602226
2005Q2,377,5.932245187448011,5.635860458170742,0.29638472927726855
2005Q3,392,5.971261839790462,5.636217155160435,0.33504468463002723
2005Q4,400,5.991464547107982,5.641788860641859,0.34967568646612257
2006Q1,413,6.023447592961033,5.638805338822748,0.384642254138285
2006Q2,426,6.054439346269371,5.651037835179039,0.4034015110903315
2006Q3,439,6.0844994130751715,5.652032935854117,0.43246647722105447
2006Q4,442,6.091309882077698,5.657075139890874,0.434234742186824
2007Q1,446,6.100318952020064,5.658075884714665,0.442243067305399
2007Q2,470,6.152732694704104,5.668983969113506,0.48374872559059856
2007Q3,491,6.19644412779452,5.671259282950641,0.5251848448438796
2007Q4,492,6.198478716492308,5.6880143644065475,0.5104643520857604
2008Q1,486,6.186208623900494,5.689739893066246,0.4964687308342475
2008Q2,493,6.20050917404269,5.707232073498217,0.49327710054447316
2008Q3,500,6.214608098422191,5.713919806725422,0.5006882916967692
2008Q4,482,6.1779441140506,5.7122024822465125,0.4657416318040877
2009Q1,475,6.163314804034641,5.697797936308945,0.46551686772569667
2009Q2,494,6.202535517187923,5.702537255247769,0.49999826194015373
2009Q3,507,6.2285110035911835,5.70219232214468,0.5263186814465035
2009Q4,516,6.246106765481563,5.7080290009425205,0.5380777645390422
2010Q1,526,6.26530121273771,5.707885158239801,0.5574160544979092
2010Q2,538,6.2878585601617845,5.712907382433202,0.5749511777285825
2010Q3,541,6.293419278846481,5.713402718033191,0.5800165608132897
2010Q4,543,6.297109319933935,5.7267174459386965,0.5703918739952387
2011Q1,544,6.298949246855942,5.730402767372196,0.5685464794837465
2011Q2,547,6.304448802421981,5.7416561270842825,0.5627926753376986
2011Q3,546,6.302618975744905,5.742757431118054,0.5598615446268509
2011Q4,527,6.267200548541362,5.749775078506674,0.5174254700346888
2012Q1,525,6.263398262591624,5.747873785798793,0.5155244767928302
2012Q2,531,6.274762021241939,5.75275251682651,0.5220095044154291
2012Q3,539,6.289715570908998,5.748957647000662,0.5407579239083358
2012Q4,539,6.289715570908998,5.750475202648183,0.5392403682608142
2013Q1,539,6.289715570908998,5.747310138882068,0.5424054320269294
2013Q2,547,6.304448802421981,5.749987289105268,0.5544615133167135
2013Q3,555,6.318968113746434,5.749859968150188,0.5691081455962461
2013Q4,560,6.327936783729195,5.751132448810521,0.5768043349186733
2014Q1,569,6.343880434126331,5.743825499191434,0.6000549349348967
2014Q2,583,6.368187186350492,5.750072160736975,0.618115025613517
2014Q3,601,6.398594934535208,5.748192690470261,0.6504022440649466
2014Q4,608,6.410174881966167,5.749000127433119,0.6611747545330484
2015Q1,621,6.431331081933479,5.7439322432832505,0.6873988386502283
2015Q2,644,6.467698726104354,5.7480438809461765,0.7196548451581775
2015Q3,667,6.502790045915623,5.747586684614921,0.7552033613007021
2015Q4,684,6.52795791762255,5.749658343479135,0.7782995741434151
2016Q1,686,6.530877627725885,5.75042218009768,0.7804554476282046
2016Q2,701,6.55250788703459,5.756153521393322,0.7963543656412684
2016Q3,724,6.584791392385716,5.757870748336452,0.826920644049264
2016Q4,727,6.588926477533519,5.763915472377338,0.8250110051561812
2017Q1,742,6.60934924316738,5.7650970544752935,0.8442521886920868
2017Q2,766,6.641182169740591,5.773774846476236,0.8674073232643549
2017Q3,782,6.661854740545311,5.779188809920842,0.8826659306244693
2017Q4,782,6.661854740545311,5.781412016575716,0.8804427239695949
2018Q1,775,6.652863029353347,5.781915668059543,0.8709473612938039
2018Q2,766,6.641182169740591,5.79258668799831,0.8485954817422812
2018Q3,770,6.646390514847729,5.800203148744553,0.8461873661031758
2018Q4,769,6.645090969505644,5.802108304832901,0.8429826646727436
2019Q1,771,6.647688373563329,5.800475536222466,0.8472128373408632
2019Q2,781,6.660575149839686,5.812666774487644,0.8479083753520422
2019Q3,797,6.680854678790215,5.815264217318964,0.8655904614712515
2019Q4,799,6.683360945766275,5.819172525951206,0.8641884198150684
2020Q1,808,6.694562058521095,5.810342270889509,0.8842197876315856
2020Q2,825,6.715383386334681,5.813782212462453,0.901601173872228
2020Q3,847,6.741700694652055,5.820982624418221,0.9207180702338338
2020Q4,881,6.78105762593618,5.822365190483149,0.9586924354530311
2021Q1,913,6.816735880594968,5.825646062413042,0.9910898181819263
