quarter,kix_nominal_index,kix_nominal_log
2012Q4,105.10896580645161,4.654997581632179
2013Q1,102.2817906451613,4.6277316575552385
2013Q2,102.8250575,4.63302907331886
2013Q3,102.83688803030303,4.633144121635509
2013Q4,104.0187570967742,4.64457123957881
2014Q1,103.13051919354838,4.63599536267532
2014Q2,105.77157169491525,4.661281784782507
2014Q3,108.68174348484848,4.688423826800177
2014Q4,109.4185264516129,4.695180221643272
2015Q1,112.9602541935484,4.727036024039394
2015Q2,113.49374766666666,4.731747748766835
2015Q3,112.74931863636364,4.725166935228064
2015Q4,111.10711190476191,4.710494708141017
2016Q1,109.64441770491803,4.697242563444067
2016Q2,109.25297048387097,4.69366602338978
2016Q3,112.14094212121212,4.719756491955154
2016Q4,115.58316296875,4.749990296571167
2017Q1,113.2165109375,4.72930201147142
2017Q2,114.3829472881356,4.739552005668182
2017Q3,110.7865063076923,4.707604982670278
2017Q4,113.14933984126984,4.728708537694606
2018Q1,114.38575222222222,4.739576527677467
2018Q2,118.91254433333333,4.77838830135566
2018Q3,118.93736276923077,4.77859699124997
2018Q4,118.37371387096775,4.773846686576831
2019Q1,120.08252920634921,4.788179249781183
2019Q2,122.46856203389831,4.807854360590038
2019Q3,122.80007984848484,4.810557665944792
2019Q4,123.0475420967742,4.812570801804361
2020Q1,122.61133873015874,4.809019504789686
2020Q2,120.70372366666666,4.7933389782213744
2020Q3,115.9909656060606,4.753512305366975
2020Q4,114.75654396825396,4.7428128753604035
2021Q1,113.51721161290322,4.731954469591191
2021Q2,113.82781409836066,4.734686903940589
2021Q3,114.96079848484848,4.744591187509074
2021Q4,114.96329546875,4.744612907580761
2022Q1,119.13720951612903,4.780275850037114
2022Q2,119.41598583333334,4.782613076698029
2022Q3,121.83293863636364,4.802650750869666
2022Q4,123.87187328125,4.8192477514133305
2023Q1,125.58708203125,4.8329993986750015
2023Q2,127.45136677966102,4.847734854810609
2023Q3,130.03715323076923,4.8678202037070735
2023Q4,127.01779476190477,4.844327192878699
2024Q1,124.66263841269841,4.825611196026766
2024Q2,126.94195416666666,4.843729928171889
2024Q3,125.55808818181818,4.832768505526341
2024Q4,126.67773370967743,4.841646331627854
2025Q1,124.00608322580645,4.820330622674351
2025Q2,118.36148813559322,4.773743400413372
2025Q3,119.06654742424243,4.779682558857606
2025Q4,117.34865161290323,4.76514943192768
2026Q1,114.85308564516129,4.743653795514832
2026Q2,117.45435366666666,4.7660497786739064
2026Q3,119.6483537735849,4.78455705557678
