sector,item,quarter,Balances
Households,Financial assets (FA),2021K2,19267441
Households,Financial assets (FA),2021K3,19413583
Households,Financial assets (FA),2021K4,20434255
Households,Financial assets (FA),2022K1,19734859
Households,Financial assets (FA),2022K2,18305330
Households,Financial assets (FA),2022K3,17970588
Households,Financial assets (FA),2022K4,18407747
Households,Financial assets (FA),2023K1,19185671
Households,Financial assets (FA),2023K2,19573303
Households,Financial assets (FA),2023K3,19107091
Households,Financial assets (FA),2023K4,19664438
Households,Financial assets (FA),2024K1,20899039
Households,Financial assets (FA),2024K2,21394647
Households,Financial assets (FA),2024K3,21730616
Households,Financial assets (FA),2024K4,21822156
Households,Financial assets (FA),2025K1,21511131
Households,Financial assets (FA),2025K2,22288635
Households,Financial assets (FA),2025K3,22630106
Households,Financial assets (FA),2025K4,23066289
Households,Financial assets (FA),2026K1,23331101
Households,Monetary gold,1996K1,0
Households,Monetary gold,1996K2,0
Households,Monetary gold,1996K3,0
Households,Monetary gold,1996K4,0
Households,Monetary gold,1997K1,0
Households,Monetary gold,1997K2,0
Households,Monetary gold,1997K3,0
Households,Monetary gold,1997K4,0
Households,Monetary gold,1998K1,0
Households,Monetary gold,1998K2,0
Households,Monetary gold,1998K3,0
Households,Monetary gold,1998K4,0
Households,Monetary gold,1999K1,0
Households,Monetary gold,1999K2,0
Households,Monetary gold,1999K3,0
Households,Monetary gold,1999K4,0
Households,Monetary gold,2000K1,0
Households,Monetary gold,2000K2,0
Households,Monetary gold,2000K3,0
Households,Monetary gold,2000K4,0
Households,Monetary gold,2001K1,0
Households,Monetary gold,2001K2,0
Households,Monetary gold,2001K3,0
Households,Monetary gold,2001K4,0
Households,Monetary gold,2002K1,0
Households,Monetary gold,2002K2,0
Households,Monetary gold,2002K3,0
Households,Monetary gold,2002K4,0
Households,Monetary gold,2003K1,0
Households,Monetary gold,2003K2,0
Households,Monetary gold,2003K3,0
Households,Monetary gold,2003K4,0
Households,Monetary gold,2004K1,0
Households,Monetary gold,2004K2,0
Households,Monetary gold,2004K3,0
Households,Monetary gold,2004K4,0
Households,Monetary gold,2005K1,0
Households,Monetary gold,2005K2,0
Households,Monetary gold,2005K3,0
Households,Monetary gold,2005K4,0
Households,Monetary gold,2006K1,0
Households,Monetary gold,2006K2,0
Households,Monetary gold,2006K3,0
Households,Monetary gold,2006K4,0
Households,Monetary gold,2007K1,0
Households,Monetary gold,2007K2,0
Households,Monetary gold,2007K3,0
Households,Monetary gold,2007K4,0
Households,Monetary gold,2008K1,0
Households,Monetary gold,2008K2,0
Households,Monetary gold,2008K3,0
Households,Monetary gold,2008K4,0
Households,Monetary gold,2009K1,0
Households,Monetary gold,2009K2,0
Households,Monetary gold,2009K3,0
Households,Monetary gold,2009K4,0
Households,Monetary gold,2010K1,0
Households,Monetary gold,2010K2,0
Households,Monetary gold,2010K3,0
Households,Monetary gold,2010K4,0
Households,Monetary gold,2011K1,0
Households,Monetary gold,2011K2,0
Households,Monetary gold,2011K3,0
Households,Monetary gold,2011K4,0
Households,Monetary gold,2012K1,0
Households,Monetary gold,2012K2,0
Households,Monetary gold,2012K3,0
Households,Monetary gold,2012K4,0
Households,Monetary gold,2013K1,0
Households,Monetary gold,2013K2,0
Households,Monetary gold,2013K3,0
Households,Monetary gold,2013K4,0
Households,Monetary gold,2014K1,0
Households,Monetary gold,2014K2,0
Households,Monetary gold,2014K3,0
Households,Monetary gold,2014K4,0
Households,Monetary gold,2015K1,0
Households,Monetary gold,2015K2,0
Households,Monetary gold,2015K3,0
Households,Monetary gold,2015K4,0
Households,Monetary gold,2016K1,0
Households,Monetary gold,2016K2,0
Households,Monetary gold,2016K3,0
Households,Monetary gold,2016K4,0
Households,Monetary gold,2017K1,0
Households,Monetary gold,2017K2,0
Households,Monetary gold,2017K3,0
Households,Monetary gold,2017K4,0
Households,Monetary gold,2018K1,0
Households,Monetary gold,2018K2,0
Households,Monetary gold,2018K3,0
Households,Monetary gold,2018K4,0
Households,Monetary gold,2019K1,0
Households,Monetary gold,2019K2,0
Households,Monetary gold,2019K3,0
Households,Monetary gold,2019K4,0
Households,Monetary gold,2020K1,0
Households,Monetary gold,2020K2,0
Households,Monetary gold,2020K3,0
Households,Monetary gold,2020K4,0
Households,Monetary gold,2021K1,0
Households,Monetary gold,2021K2,0
Households,Monetary gold,2021K3,0
Households,Monetary gold,2021K4,0
Households,Monetary gold,2022K1,0
Households,Monetary gold,2022K2,0
Households,Monetary gold,2022K3,0
Households,Monetary gold,2022K4,0
Households,Monetary gold,2023K1,0
Households,Monetary gold,2023K2,0
Households,Monetary gold,2023K3,0
Households,Monetary gold,2023K4,0
Households,Monetary gold,2024K1,0
Households,Monetary gold,2024K2,0
Households,Monetary gold,2024K3,0
Households,Monetary gold,2024K4,0
Households,Monetary gold,2025K1,0
Households,Monetary gold,2025K2,0
Households,Monetary gold,2025K3,0
Households,Monetary gold,2025K4,0
Households,Monetary gold,2026K1,0
Households,Special drawing rights (SDR),1996K1,0
Households,Special drawing rights (SDR),1996K2,0
Households,Special drawing rights (SDR),1996K3,0
Households,Special drawing rights (SDR),1996K4,0
Households,Special drawing rights (SDR),1997K1,0
Households,Special drawing rights (SDR),1997K2,0
Households,Special drawing rights (SDR),1997K3,0
Households,Special drawing rights (SDR),1997K4,0
Households,Special drawing rights (SDR),1998K1,0
Households,Special drawing rights (SDR),1998K2,0
Households,Special drawing rights (SDR),1998K3,0
Households,Special drawing rights (SDR),1998K4,0
Households,Special drawing rights (SDR),1999K1,0
Households,Special drawing rights (SDR),1999K2,0
Households,Special drawing rights (SDR),1999K3,0
Households,Special drawing rights (SDR),1999K4,0
Households,Special drawing rights (SDR),2000K1,0
Households,Special drawing rights (SDR),2000K2,0
Households,Special drawing rights (SDR),2000K3,0
Households,Special drawing rights (SDR),2000K4,0
Households,Special drawing rights (SDR),2001K1,0
Households,Special drawing rights (SDR),2001K2,0
Households,Special drawing rights (SDR),2001K3,0
Households,Special drawing rights (SDR),2001K4,0
Households,Special drawing rights (SDR),2002K1,0
Households,Special drawing rights (SDR),2002K2,0
Households,Special drawing rights (SDR),2002K3,0
Households,Special drawing rights (SDR),2002K4,0
Households,Special drawing rights (SDR),2003K1,0
Households,Special drawing rights (SDR),2003K2,0
Households,Special drawing rights (SDR),2003K3,0
Households,Special drawing rights (SDR),2003K4,0
Households,Special drawing rights (SDR),2004K1,0
Households,Special drawing rights (SDR),2004K2,0
Households,Special drawing rights (SDR),2004K3,0
Households,Special drawing rights (SDR),2004K4,0
Households,Special drawing rights (SDR),2005K1,0
Households,Special drawing rights (SDR),2005K2,0
Households,Special drawing rights (SDR),2005K3,0
Households,Special drawing rights (SDR),2005K4,0
Households,Special drawing rights (SDR),2006K1,0
Households,Special drawing rights (SDR),2006K2,0
Households,Special drawing rights (SDR),2006K3,0
Households,Special drawing rights (SDR),2006K4,0
Households,Special drawing rights (SDR),2007K1,0
Households,Special drawing rights (SDR),2007K2,0
Households,Special drawing rights (SDR),2007K3,0
Households,Special drawing rights (SDR),2007K4,0
Households,Special drawing rights (SDR),2008K1,0
Households,Special drawing rights (SDR),2008K2,0
Households,Special drawing rights (SDR),2008K3,0
Households,Special drawing rights (SDR),2008K4,0
Households,Special drawing rights (SDR),2009K1,0
Households,Special drawing rights (SDR),2009K2,0
Households,Special drawing rights (SDR),2009K3,0
Households,Special drawing rights (SDR),2009K4,0
Households,Special drawing rights (SDR),2010K1,0
Households,Special drawing rights (SDR),2010K2,0
Households,Special drawing rights (SDR),2010K3,0
Households,Special drawing rights (SDR),2010K4,0
Households,Special drawing rights (SDR),2011K1,0
Households,Special drawing rights (SDR),2011K2,0
Households,Special drawing rights (SDR),2011K3,0
Households,Special drawing rights (SDR),2011K4,0
Households,Special drawing rights (SDR),2012K1,0
Households,Special drawing rights (SDR),2012K2,0
Households,Special drawing rights (SDR),2012K3,0
Households,Special drawing rights (SDR),2012K4,0
Households,Special drawing rights (SDR),2013K1,0
Households,Special drawing rights (SDR),2013K2,0
Households,Special drawing rights (SDR),2013K3,0
Households,Special drawing rights (SDR),2013K4,0
Households,Special drawing rights (SDR),2014K1,0
Households,Special drawing rights (SDR),2014K2,0
Households,Special drawing rights (SDR),2014K3,0
Households,Special drawing rights (SDR),2014K4,0
Households,Special drawing rights (SDR),2015K1,0
Households,Special drawing rights (SDR),2015K2,0
Households,Special drawing rights (SDR),2015K3,0
Households,Special drawing rights (SDR),2015K4,0
Households,Special drawing rights (SDR),2016K1,0
Households,Special drawing rights (SDR),2016K2,0
Households,Special drawing rights (SDR),2016K3,0
Households,Special drawing rights (SDR),2016K4,0
Households,Special drawing rights (SDR),2017K1,0
Households,Special drawing rights (SDR),2017K2,0
Households,Special drawing rights (SDR),2017K3,0
Households,Special drawing rights (SDR),2017K4,0
Households,Special drawing rights (SDR),2018K1,0
Households,Special drawing rights (SDR),2018K2,0
Households,Special drawing rights (SDR),2018K3,0
Households,Special drawing rights (SDR),2018K4,0
Households,Special drawing rights (SDR),2019K1,0
Households,Special drawing rights (SDR),2019K2,0
Households,Special drawing rights (SDR),2019K3,0
Households,Special drawing rights (SDR),2019K4,0
Households,Special drawing rights (SDR),2020K1,0
Households,Special drawing rights (SDR),2020K2,0
Households,Special drawing rights (SDR),2020K3,0
Households,Special drawing rights (SDR),2020K4,0
Households,Special drawing rights (SDR),2021K1,0
Households,Special drawing rights (SDR),2021K2,0
Households,Special drawing rights (SDR),2021K3,0
Households,Special drawing rights (SDR),2021K4,0
Households,Special drawing rights (SDR),2022K1,0
Households,Special drawing rights (SDR),2022K2,0
Households,Special drawing rights (SDR),2022K3,0
Households,Special drawing rights (SDR),2022K4,0
Households,Special drawing rights (SDR),2023K1,0
Households,Special drawing rights (SDR),2023K2,0
Households,Special drawing rights (SDR),2023K3,0
Households,Special drawing rights (SDR),2023K4,0
Households,Special drawing rights (SDR),2024K1,0
Households,Special drawing rights (SDR),2024K2,0
Households,Special drawing rights (SDR),2024K3,0
Households,Special drawing rights (SDR),2024K4,0
Households,Special drawing rights (SDR),2025K1,0
Households,Special drawing rights (SDR),2025K2,0
Households,Special drawing rights (SDR),2025K3,0
Households,Special drawing rights (SDR),2025K4,0
Households,Special drawing rights (SDR),2026K1,0
Households,Currency,1996K1,47733
Households,Currency,1996K2,48568
Households,Currency,1996K3,48612
Households,Currency,1996K4,53964
Households,Currency,1997K1,53578
Households,Currency,1997K2,53601
Households,Currency,1997K3,53565
Households,Currency,1997K4,58671
Households,Currency,1998K1,54803
Households,Currency,1998K2,56172
Households,Currency,1998K3,57439
Households,Currency,1998K4,62273
Households,Currency,1999K1,60137
Households,Currency,1999K2,61040
Households,Currency,1999K3,62563
Households,Currency,1999K4,69688
Households,Currency,2000K1,64838
Households,Currency,2000K2,65214
Households,Currency,2000K3,66351
Households,Currency,2000K4,70883
Households,Currency,2001K1,67920
Households,Currency,2001K2,70006
Households,Currency,2001K3,70290
Households,Currency,2001K4,77343
Households,Currency,2002K1,71946
Households,Currency,2002K2,71394
Households,Currency,2002K3,71578
Households,Currency,2002K4,76630
Households,Currency,2003K1,73474
Households,Currency,2003K2,73613
Households,Currency,2003K3,73792
Households,Currency,2003K4,78671
Households,Currency,2004K1,73709
Households,Currency,2004K2,75580
Households,Currency,2004K3,75050
Households,Currency,2004K4,78438
Households,Currency,2005K1,76225
Households,Currency,2005K2,76741
Households,Currency,2005K3,76910
Households,Currency,2005K4,80227
Households,Currency,2006K1,75886
Households,Currency,2006K2,77086
Households,Currency,2006K3,76776
Households,Currency,2006K4,80531
Households,Currency,2007K1,76911
Households,Currency,2007K2,78420
Households,Currency,2007K3,77186
Households,Currency,2007K4,80185
Households,Currency,2008K1,77723
Households,Currency,2008K2,77661
Households,Currency,2008K3,76486
Households,Currency,2008K4,79413
Households,Currency,2009K1,76412
Households,Currency,2009K2,77722
Households,Currency,2009K3,77512
Households,Currency,2009K4,79954
Households,Currency,2010K1,76449
Households,Currency,2010K2,77491
Households,Currency,2010K3,75509
Households,Currency,2010K4,77079
Households,Currency,2011K1,72053
Households,Currency,2011K2,72877
Households,Currency,2011K3,71556
Households,Currency,2011K4,73651
Households,Currency,2012K1,69534
Households,Currency,2012K2,70006
Households,Currency,2012K3,68654
Households,Currency,2012K4,70374
Households,Currency,2013K1,68201
Households,Currency,2013K2,69289
Households,Currency,2013K3,67010
Households,Currency,2013K4,65809
Households,Currency,2014K1,61242
Households,Currency,2014K2,63215
Households,Currency,2014K3,62424
Households,Currency,2014K4,64839
Households,Currency,2015K1,61564
Households,Currency,2015K2,60962
Households,Currency,2015K3,58856
Households,Currency,2015K4,56863
Households,Currency,2016K1,52073
Households,Currency,2016K2,50693
Households,Currency,2016K3,48500
Households,Currency,2016K4,48392
Households,Currency,2017K1,44690
Households,Currency,2017K2,44006
