varaktighet,kvartal,"Fasta priser, referensår 2025, mnkr"
1110 varaktiga varor,2024K3,59023
1110 varaktiga varor,2024K4,69887
1110 varaktiga varor,2025K1,54909
1110 varaktiga varor,2025K2,70340
1110 varaktiga varor,2025K3,66280
1110 varaktiga varor,2025K4,76273
1110 varaktiga varor,2026K1,59977
1110 varaktiga varor,2026K2,77623
1111 bilar,1981K1,6696
1111 bilar,1981K2,7892
1111 bilar,1981K3,5694
1111 bilar,1981K4,7193
1111 bilar,1982K1,7724
1111 bilar,1982K2,9530
1111 bilar,1982K3,6443
1111 bilar,1982K4,9098
1111 bilar,1983K1,6684
1111 bilar,1983K2,8314
1111 bilar,1983K3,6101
1111 bilar,1983K4,8408
1111 bilar,1984K1,7050
1111 bilar,1984K2,8342
1111 bilar,1984K3,5731
1111 bilar,1984K4,7631
1111 bilar,1985K1,8023
1111 bilar,1985K2,10505
1111 bilar,1985K3,5876
1111 bilar,1985K4,7204
1111 bilar,1986K1,8845
1111 bilar,1986K2,11543
1111 bilar,1986K3,8462
1111 bilar,1986K4,11862
1111 bilar,1987K1,11156
1111 bilar,1987K2,16629
1111 bilar,1987K3,9749
1111 bilar,1987K4,14969
1111 bilar,1988K1,14060
1111 bilar,1988K2,16603
1111 bilar,1988K3,11743
1111 bilar,1988K4,14441
1111 bilar,1989K1,12027
1111 bilar,1989K2,14435
1111 bilar,1989K3,9551
1111 bilar,1989K4,12629
1111 bilar,1990K1,10530
1111 bilar,1990K2,10959
1111 bilar,1990K3,6708
1111 bilar,1990K4,7182
1111 bilar,1991K1,7430
1111 bilar,1991K2,11219
1111 bilar,1991K3,6912
1111 bilar,1991K4,8741
1111 bilar,1992K1,7721
1111 bilar,1992K2,8813
1111 bilar,1992K3,5136
1111 bilar,1992K4,5308
1111 bilar,1993K1,5840
1111 bilar,1993K2,5828
1111 bilar,1993K3,4821
1111 bilar,1993K4,6207
1111 bilar,1994K1,6220
1111 bilar,1994K2,7750
1111 bilar,1994K3,5164
1111 bilar,1994K4,6729
1111 bilar,1995K1,7534
1111 bilar,1995K2,8093
1111 bilar,1995K3,6030
1111 bilar,1995K4,7971
1111 bilar,1996K1,6939
1111 bilar,1996K2,8595
