region,quarter,Index
Stockholm production county,2007K1,596
Stockholm production county,2007K2,639
Stockholm production county,2007K3,672
Stockholm production county,2007K4,671
Stockholm production county,2008K1,654
Stockholm production county,2008K2,666
Stockholm production county,2008K3,675
Stockholm production county,2008K4,649
Stockholm production county,2009K1,630
Stockholm production county,2009K2,655
Stockholm production county,2009K3,673
Stockholm production county,2009K4,688
Stockholm production county,2010K1,715
Stockholm production county,2010K2,734
Stockholm production county,2010K3,734
Stockholm production county,2010K4,736
Stockholm production county,2011K1,739
Stockholm production county,2011K2,749
Stockholm production county,2011K3,751
Stockholm production county,2011K4,720
Stockholm production county,2012K1,727
Stockholm production county,2012K2,733
Stockholm production county,2012K3,743
Stockholm production county,2012K4,736
Stockholm production county,2013K1,741
Stockholm production county,2013K2,755
Stockholm production county,2013K3,763
Stockholm production county,2013K4,777
Stockholm production county,2014K1,811
Stockholm production county,2014K2,830
Stockholm production county,2014K3,861
Stockholm production county,2014K4,879
Stockholm production county,2015K1,896
Stockholm production county,2015K2,946
Stockholm production county,2015K3,990
Stockholm production county,2015K4,1017
Stockholm production county,2016K1,1014
Stockholm production county,2016K2,1047
Stockholm production county,2016K3,1064
Stockholm production county,2016K4,1063
Stockholm production county,2017K1,1082
Stockholm production county,2017K2,1113
Stockholm production county,2017K3,1125
Stockholm production county,2017K4,1111
Stockholm production county,2018K1,1079
Stockholm production county,2018K2,1050
Stockholm production county,2018K3,1040
Stockholm production county,2018K4,1035
Stockholm production county,2019K1,1032
Stockholm production county,2019K2,1042
Stockholm production county,2019K3,1047
Stockholm production county,2019K4,1052
Stockholm production county,2020K1,1078
Stockholm production county,2020K2,1104
Stockholm production county,2020K3,1116
Stockholm production county,2020K4,1178
Stockholm production county,2021K1,1234
Stockholm production county,2021K2,1317
Stockholm production county,2021K3,1380
Stockholm production county,2021K4,1370
Stockholm production county,2022K1,1395
Stockholm production county,2022K2,1429
Stockholm production county,2022K3,1398
Stockholm production county,2022K4,1297
Stockholm production county,2023K1,1241
Stockholm production county,2023K2,1224
Stockholm production county,2023K3,1233
Stockholm production county,2023K4,1222
Stockholm production county,2024K1,1200
Stockholm production county,2024K2,1212
Stockholm production county,2024K3,1238
Stockholm production county,2024K4,1242
Stockholm production county,2025K1,1251
Stockholm production county,2025K2,1260
Stockholm production county,2025K3,1248
Stockholm production county,2025K4,1236
Stockholm production county,2026K1,1242
Eastern Central Sweden,1986K1,108
Eastern Central Sweden,1986K2,110
Eastern Central Sweden,1986K3,113
Eastern Central Sweden,1986K4,115
Eastern Central Sweden,1987K1,120
Eastern Central Sweden,1987K2,123
Eastern Central Sweden,1987K3,127
Eastern Central Sweden,1987K4,132
Eastern Central Sweden,1988K1,137
Eastern Central Sweden,1988K2,140
Eastern Central Sweden,1988K3,149
Eastern Central Sweden,1988K4,151
Eastern Central Sweden,1989K1,163
Eastern Central Sweden,1989K2,168
Eastern Central Sweden,1989K3,175
Eastern Central Sweden,1989K4,176
Eastern Central Sweden,1990K1,188
Eastern Central Sweden,1990K2,190
Eastern Central Sweden,1990K3,192
Eastern Central Sweden,1990K4,192
Eastern Central Sweden,1991K1,204
Eastern Central Sweden,1991K2,203
Eastern Central Sweden,1991K3,207
Eastern Central Sweden,1991K4,204
Eastern Central Sweden,1992K1,198
Eastern Central Sweden,1992K2,192
Eastern Central Sweden,1992K3,188
Eastern Central Sweden,1992K4,176
Eastern Central Sweden,1993K1,167
Eastern Central Sweden,1993K2,167
Eastern Central Sweden,1993K3,166
Eastern Central Sweden,1993K4,167
Eastern Central Sweden,1994K1,168
Eastern Central Sweden,1994K2,173
Eastern Central Sweden,1994K3,175
Eastern Central Sweden,1994K4,170
Eastern Central Sweden,1995K1,171
Eastern Central Sweden,1995K2,173
Eastern Central Sweden,1995K3,170
Eastern Central Sweden,1995K4,171
Eastern Central Sweden,1996K1,170
Eastern Central Sweden,1996K2,172
Eastern Central Sweden,1996K3,175
Eastern Central Sweden,1996K4,175
Eastern Central Sweden,1997K1,177
Eastern Central Sweden,1997K2,180
Eastern Central Sweden,1997K3,184
Eastern Central Sweden,1997K4,185
Eastern Central Sweden,1998K1,190
Eastern Central Sweden,1998K2,196
Eastern Central Sweden,1998K3,199
Eastern Central Sweden,1998K4,201
Eastern Central Sweden,1999K1,204
Eastern Central Sweden,1999K2,208
Eastern Central Sweden,1999K3,217
Eastern Central Sweden,1999K4,217
Eastern Central Sweden,2000K1,224
Eastern Central Sweden,2000K2,229
Eastern Central Sweden,2000K3,237
Eastern Central Sweden,2000K4,234
Eastern Central Sweden,2001K1,241
Eastern Central Sweden,2001K2,246
Eastern Central Sweden,2001K3,256
Eastern Central Sweden,2001K4,251
Eastern Central Sweden,2002K1,258
Eastern Central Sweden,2002K2,265
Eastern Central Sweden,2002K3,279
Eastern Central Sweden,2002K4,278
Eastern Central Sweden,2003K1,280
Eastern Central Sweden,2003K2,288
Eastern Central Sweden,2003K3,294
Eastern Central Sweden,2003K4,304
Eastern Central Sweden,2004K1,306
Eastern Central Sweden,2004K2,316
Eastern Central Sweden,2004K3,318
Eastern Central Sweden,2004K4,323
Eastern Central Sweden,2005K1,328
Eastern Central Sweden,2005K2,338
Eastern Central Sweden,2005K3,351
Eastern Central Sweden,2005K4,359
Eastern Central Sweden,2006K1,361
Eastern Central Sweden,2006K2,374
Eastern Central Sweden,2006K3,382
Eastern Central Sweden,2006K4,385
Eastern Central Sweden,2007K1,386
Eastern Central Sweden,2007K2,406
Eastern Central Sweden,2007K3,416
Eastern Central Sweden,2007K4,421
Eastern Central Sweden,2008K1,416
Eastern Central Sweden,2008K2,422
Eastern Central Sweden,2008K3,433
Eastern Central Sweden,2008K4,420
Eastern Central Sweden,2009K1,420
Eastern Central Sweden,2009K2,434
