date,value
1996-09-04,107.98966
1996-09-05,108.17135
1996-09-06,107.92219
1996-09-09,107.87482
1996-09-10,107.96795
1996-09-11,108.29648
1996-09-12,107.52683
1996-09-13,107.23244
1996-09-16,106.86798
1996-09-17,106.73628
1996-09-18,106.64165
1996-09-19,106.6294
1996-09-20,106.26263
1996-09-23,106.1801
1996-09-24,106.17065
1996-09-25,105.72415
1996-09-26,106.40784
1996-09-27,106.41404
1996-09-30,106.0057
1996-10-01,106.17476
1996-10-02,105.72017
1996-10-03,105.76698
1996-10-04,105.66653
1996-10-07,105.60258
1996-10-08,105.76875
1996-10-09,105.05072
1996-10-10,105.34605
1996-10-11,105.48488
1996-10-14,105.29522
1996-10-15,105.40862
1996-10-16,105.43557
1996-10-17,105.7183
1996-10-18,105.68385
1996-10-21,105.63918
1996-10-22,105.53656
1996-10-23,105.46844
1996-10-24,105.4793
1996-10-25,105.67145
1996-10-28,105.73497
1996-10-29,105.7485
1996-10-30,105.71901
1996-10-31,105.85726
1996-11-01,106.11268
1996-11-04,106.25632
1996-11-05,106.77727
1996-11-06,106.57689
1996-11-07,106.70329
1996-11-08,107.0212
1996-11-11,106.95691
1996-11-12,107.29518
1996-11-13,107.44338
1996-11-14,107.29555
1996-11-15,107.26789
1996-11-18,107.32577
1996-11-19,107.27335
1996-11-20,107.66527
1996-11-21,107.61759
1996-11-22,107.95522
1996-11-25,107.47297
1996-11-26,107.27278
1996-11-27,107.28519
1996-11-28,107.3097
1996-11-29,107.51804
1996-12-02,107.63033
1996-12-03,107.70023
1996-12-04,107.566
1996-12-05,107.93485
1996-12-06,108.31566
1996-12-09,108.34778
1996-12-10,108.90191
1996-12-11,108.32683
1996-12-12,108.63377
1996-12-13,108.62357
1996-12-16,108.32284
1996-12-17,108.53905
1996-12-18,108.64095
1996-12-19,108.92495
1996-12-20,108.87331
1996-12-23,108.65055
1996-12-27,108.92165
1996-12-30,109.24045
1997-01-02,109.44945
1997-01-03,110.01347
1997-01-07,110.31964
1997-01-08,110.38446
1997-01-09,109.68491
1997-01-10,108.84863
1997-01-13,108.33894
1997-01-14,108.88466
1997-01-15,109.12646
1997-01-16,109.0805
1997-01-17,109.08068
1997-01-20,109.46518
1997-01-21,109.77653
1997-01-22,109.53818
