country,quarter,gdp_growth_qoq
BRA,2013-Q2,1.378426233
BRA,2013-Q3,0.4752246
BRA,2013-Q4,0.159515974
BRA,2014-Q1,0.841125683
BRA,2014-Q2,-1.473398305
BRA,2014-Q3,-0.059597004
BRA,2014-Q4,0.52378025
BRA,2015-Q1,-0.791129036
BRA,2015-Q2,-2.356987147
BRA,2015-Q3,-1.646140408
BRA,2015-Q4,-0.76768225
BRA,2016-Q1,-1.434998508
BRA,2016-Q2,0.273685895
BRA,2016-Q3,-0.539045129
BRA,2016-Q4,-0.110505242
BRA,2017-Q1,1.031014729
BRA,2017-Q2,0.834685902
BRA,2017-Q3,0.224760754
BRA,2017-Q4,0.54186908600000006
BRA,2018-Q1,0.613277741
BRA,2018-Q2,-0.113626739
BRA,2018-Q3,0.955557415
BRA,2018-Q4,-0.250810064
BRA,2019-Q1,0.297460329
BRA,2019-Q2,0.577007207
BRA,2019-Q3,0.019935309
BRA,2019-Q4,0.879389682
BRA,2020-Q1,-2.289615003
BRA,2020-Q2,-8.880773018
BRA,2020-Q3,7.924270311
BRA,2020-Q4,3.838493959
BRA,2021-Q1,0.874974933
BRA,2021-Q2,-0.696309543
BRA,2021-Q3,0.146059324
BRA,2021-Q4,1.334380086
BRA,2022-Q1,0.691100051
BRA,2022-Q2,1.14266971
BRA,2022-Q3,1.054522462
BRA,2022-Q4,0.429222787
BRA,2023-Q1,1.329716043
BRA,2023-Q2,0.792907596
BRA,2023-Q3,0.1360684
BRA,2023-Q4,0.375449986
BRA,2024-Q1,0.659664006
BRA,2024-Q2,1.707591733
BRA,2024-Q3,0.898215025
BRA,2024-Q4,0.081287782
BRA,2025-Q1,1.255584766
BRA,2025-Q2,0.359261534
BRA,2025-Q3,0.108761909
BRA,2025-Q4,0.248539593
CAN,1996-Q1,0.145116796
CAN,1996-Q2,0.711918285
CAN,1996-Q3,0.839886836
CAN,1996-Q4,0.792291038
CAN,1997-Q1,1.339911843
CAN,1997-Q2,1.125352076
CAN,1997-Q3,1.18550429
CAN,1997-Q4,0.966392765
CAN,1998-Q1,1.411990072
CAN,1998-Q2,0.052954114
CAN,1998-Q3,0.911198725
CAN,1998-Q4,1.354959227
CAN,1999-Q1,1.805546006
CAN,1999-Q2,0.824757342
CAN,1999-Q3,1.567445313
CAN,1999-Q4,1.40094457
CAN,2000-Q1,1.565720708
CAN,2000-Q2,1.176951374
CAN,2000-Q3,1.02505509
CAN,2000-Q4,0.197776532
CAN,2001-Q1,0.562892178
CAN,2001-Q2,0.31448597
CAN,2001-Q3,-0.070291492
CAN,2001-Q4,0.5997524
CAN,2002-Q1,1.462187363
CAN,2002-Q2,0.590842968
