quarter,gdp_growth,consumption_growth,debt_growth,asset_liability_ratio,saving_rate,debt_income,interest_burden,real_house_price_growth,cpi_growth,policy_rate,exchange_rate_growth
2000K2,3,1.2,2.5058651819287903,3.2248510005739117,3.5,110,5.9,3.8854966303770944,0.8212544554215384,3.75,-1.4427062279737335
2000K3,1,0.5,2.001243088003335,3.1533734622717637,0.1,110.4,6.4,3.4285011768576013,-0.03834600928946941,3.75,2.328112792168202
2000K4,0.1,0,2.164629829714748,3.010067135332362,-10.2,111.2,6.5,-0.3436926334065227,0.7133788215391235,3.801630434782609,3.305167999612646
2001K1,-0.1,0.3,1.5525615174555085,2.9305980788187473,-0.5,111,6.4,2.7697641377425697,0.13953195642386618,4,1.6427611948089726
2001K2,-0.4,-0.1,2.5702789259739234,2.983221674037471,8.2,111.4,5.7,-0.46001974109985966,1.883531323287091,4,2.4783989315514177
2001K3,0.9,0.3,1.9430495266263392,2.7609247355230497,3.1,111.7,6.3,1.689180792812639,0.062177456458201164,4.157608695652174,2.308165160231823
2001K4,0.4,-0.3,2.253440446401278,2.8431067733348976,-4.1,112.2,6.3,-1.8204087205555552,0.4217845230815698,3.75,0.5761607630300425
2002K1,0.8,2,1.4680974645466804,2.840617303814771,2.7,112,6.3,1.4732705414053804,0.2719744537172275,3.783333333333333,-2.7919080797477847
2002K2,1.2,0.1,2.0316903200503944,2.735177952652987,10.8,112.2,5.7,1.876262640047166,1.19041719925006,4.164835164835165,-0.9475105016640839
2002K3,-0.2,0.1,1.8122644113363506,2.662748745249587,4,112.8,6.5,3.6857955766083528,-0.06101653737422552,4.25,-1.107475765139565
2002K4,0.1,0.4,2.2729627123613483,2.739285503460186,-4.1,113.9,6.4,-0.40665063304077265,0.7297526911854035,4.078804347826087,-2.190085321534241
2003K1,1.3,0.2,1.8590456301936342,2.8067493314748355,2.6,115.1,6.4,-0.4416510235457416,1.0847400565747733,3.713888888888889,-1.351482645630675
2003K2,-0.2,0.5,2.236588379969362,2.929958675605179,10.6,117,5.4,2.122937188735108,0.09585430880107992,3.39010989010989,-2.2842525005016157
2003K3,0.9,0.9,2.0120345585649346,2.898597474723749,3.5,118.4,5.8,2.506520688387859,-0.33589283020152294,2.7717391304347827,0.4608229468585634
2003K4,0.5,0.7,2.5248931014346,2.8787150345483354,-5.7,121,6,0.48438159336896547,0.4316553464974504,2.75,-2.7714895672668938
