"date","target_variable","shock_Shock_1_mean","shock_Shock_1_median","shock_Shock_1_lo90","shock_Shock_1_hi90","shock_Shock_1_lo68","shock_Shock_1_hi68","shock_Shock_2_mean","shock_Shock_2_median","shock_Shock_2_lo90","shock_Shock_2_hi90","shock_Shock_2_lo68","shock_Shock_2_hi68","shock_Shock_3_mean","shock_Shock_3_median","shock_Shock_3_lo90","shock_Shock_3_hi90","shock_Shock_3_lo68","shock_Shock_3_hi68","shock_Shock_4_mean","shock_Shock_4_median","shock_Shock_4_lo90","shock_Shock_4_hi90","shock_Shock_4_lo68","shock_Shock_4_hi68","shock_Shock_5_mean","shock_Shock_5_median","shock_Shock_5_lo90","shock_Shock_5_hi90","shock_Shock_5_lo68","shock_Shock_5_hi68","shock_Shock_6_mean","shock_Shock_6_median","shock_Shock_6_lo90","shock_Shock_6_hi90","shock_Shock_6_lo68","shock_Shock_6_hi68","shock_Shock_7_mean","shock_Shock_7_median","shock_Shock_7_lo90","shock_Shock_7_hi90","shock_Shock_7_lo68","shock_Shock_7_hi68","shock_Shock_8_mean","shock_Shock_8_median","shock_Shock_8_lo90","shock_Shock_8_hi90","shock_Shock_8_lo68","shock_Shock_8_hi68","shock_Shock_9_mean","shock_Shock_9_median","shock_Shock_9_lo90","shock_Shock_9_hi90","shock_Shock_9_lo68","shock_Shock_9_hi68","total_decomposed_mean","total_decomposed_median"
99,"Var_8",-0.279163512044777,-0.225638168628967,-1.89752914702962,1.3189138389486,-1.1982402735805,0.651114148556023,-0.226712626149302,-0.168353267030559,-1.84974775847499,1.27114378050555,-1.07459292384121,0.677986640309511,-0.226822006317722,-0.256505960558694,-1.83598110791481,1.36832687672492,-1.15772333096848,0.646260443535476,-0.124294423090826,-0.192227275665908,-1.65069632397684,1.51128445947767,-1.03438687076138,0.733211820524064,-0.117709548209914,-0.150672886515011,-1.48936229056551,1.46836934038217,-1.00980169920616,0.758609487749999,-0.252365591906778,-0.240428061865801,-1.74743600119247,1.24175623144672,-1.06498172818134,0.550490008439069,-0.253716652026609,-0.246604969059758,-1.88709155509577,1.31868639241915,-1.07188955077897,0.613843336396995,-0.202624819771413,-0.206039331540056,-1.78707345911494,1.37433267192692,-1.07274353423097,0.624716557052988,-0.235541851433564,-0.18863208746056,-1.89304194607148,1.24880066931314,-1.09586613649667,0.589316098525118,-1.91895103095091,-1.87510200832531
100,"Var_8",-0.194268826365038,-0.177266999759297,-1.6881353660579,1.33247924895094,-1.01715768056192,0.653866283155947,-0.216656687886973,-0.21020415963794,-1.65379113012939,1.23920289034195,-1.0073540615862,0.651427097011912,-0.13483488412758,-0.0876835717360519,-1.75441979582749,1.31980276717668,-1.05652292862159,0.697519087989799,-0.0832569818792046,-0.125243785814563,-1.50818610699056,1.32275994102716,-0.941326567616063,0.710290161344018,-0.146225312704377,-0.101195205909428,-1.44869169224889,1.10328272179663,-0.847768742012755,0.576378315353856,-0.208413149609451,-0.155181179721312,-1.69406783100566,1.26873492351806,-1.05390170029018,0.66111295133471,-0.124267070649785,-0.0982316240723846,-1.52146374741732,1.19014223607088,-0.882120637383595,0.640328361344948,-0.147302111287095,-0.141607453912285,-1.61432944044098,1.15964045417966,-0.907782569846288,0.648152202119678,-0.169342079591589,-0.111847297451493,-1.81023962530681,1.16200871945544,-1.01930291455501,0.688639448817626,-1.42456710410109,-1.20846127801475
101,"Var_8",-0.217487637599101,-0.148122353090218,-2.01004444524365,1.37978632222504,-1.17872888695933,0.723515836097409,-0.208105035036008,-0.152564198560837,-1.96164107325413,1.46094376026139,-1.19117706404256,0.748578961405736,-0.207751729047083,-0.169943742074071,-2.05506415215421,1.32890613807905,-1.12714916973611,0.696102965227656,-0.148270998866249,-0.171901651042423,-2.01516044144259,1.5128283732063,-1.08369443040564,0.776480332825898,0.00471254029178759,0.0356887467955461,-1.67650314409908,1.67593629566657,-0.849272145003775,0.855809971778694,-0.194789324477005,-0.148986357003607,-1.9293112614154,1.48250851597637,-1.12951185202327,0.757208883997277,-0.138862356201912,-0.0577247369406246,-1.9059739520691,1.44622875136532,-1.07233221120159,0.754383248537353,-0.198762422158577,-0.157674983808907,-1.91894554877184,1.38512343760118,-1.15332475086415,0.727963074211287,-0.17812011257523,-0.146759783641716,-2.10997400649746,1.38677693107894,-1.17083747833304,0.812365684468068,-1.48743707566938,-1.11798905936686
102,"Var_8",-0.587348472669501,-0.437721851380374,-2.47395760770984,0.766354728099063,-1.52869421027918,0.293730732994234,-0.551730375645539,-0.414093391612467,-2.44293478354894,0.961277681083853,-1.477080414826,0.387880837662482,-0.555325473358751,-0.483742096830541,-2.42335494196711,0.836278019441282,-1.45479174409029,0.346694965895187,-0.510485004617324,-0.471846273080189,-2.38253810246285,0.977210154455903,-1.49466962902441,0.365031280143732,-0.165842438644059,-0.145539327763337,-1.69793143759711,1.19190763504735,-0.915499893775539,0.669211481230068,-0.564091140878562,-0.460339397208285,-2.26342915674251,0.923043057165083,-1.54607062055312,0.325730215073217,-0.51674581979278,-0.422570075942719,-2.2544233543205,0.885525854017286,-1.37994621308347,0.358783768405215,-0.547758359042798,-0.443108345713423,-2.41488449205706,0.834484367190699,-1.42441106921204,0.352916345601238,-0.545616985120002,-0.451577308576587,-2.51175586729636,0.915010753209302,-1.47170251286139,0.408489910524758,-4.54494406976932,-3.73053806810792
103,"Var_8",-1.15472294701381,-0.967241596521027,-3.20468021800902,0.3894749833228,-2.20464617627308,-0.182201748854579,-1.11905646423367,-0.934338179749799,-3.21835826617376,0.467562335971764,-2.16391175416966,-0.110429636278021,-1.10407982478173,-0.948645403715964,-3.26360991134823,0.467922097571493,-2.17352310752167,-0.100024668910234,-1.08165101665642,-0.991126261518272,-3.17586029721185,0.429526474571346,-2.16111554139984,-0.117592538752171,-1.08538611463728,-0.970481360888601,-2.68638464937471,0.267279339793263,-1.9231251985296,-0.224555162280908,-1.12317305908126,-0.946243994753234,-3.05002851768814,0.397837087700054,-2.19226107231404,-0.06823344525977,-1.09128509618845,-1.00284266770658,-2.92357685811262,0.491448996591328,-2.13582254769314,-0.116223230218334,-1.10560689682791,-0.98284071572674,-3.30919652620158,0.451952360195902,-2.12945873531214,-0.132636322195592,-1.10422626873219,-0.972060110535262,-3.15195512670758,0.410927257663179,-2.0698883935773,-0.131118551493269,-9.96918768815274,-8.71582029111548
104,"Var_8",-0.783490346548797,-0.616205163588578,-2.79952097070604,0.662806848837059,-1.78700538637313,0.166200264382599,-0.799901620795174,-0.666304575125316,-2.89292594487717,0.792386492275221,-1.75160581810019,0.188185152008677,-0.741690519122022,-0.583043994342168,-2.86266628611102,0.716139736548803,-1.80560641493277,0.224224759764597,-0.70238127942065,-0.604849916594521,-2.63612019863776,0.819281900126867,-1.72751986317708,0.198504527664959,-0.882439979429553,-0.795829252766792,-2.57836840462299,0.47627962617324,-1.78593965180891,0.0251682979442434,-0.767743843393512,-0.620821813565026,-2.75809469029327,0.798470023678382,-1.73777018110826,0.246108732774477,-0.691100472454017,-0.573615035782454,-2.42639863004394,0.784098856127363,-1.59929830949909,0.193400140772143,-0.736946673862333,-0.61237818975121,-2.64051619886191,0.72946468865933,-1.7016850100258,0.17762643271666,-0.742983897246419,-0.602588314701226,-2.72146136037833,0.701692672673919,-1.68659943156492,0.249123647440695,-6.84867863227248,-5.67563625621729
105,"Var_8",-0.517440444131769,-0.384046256945795,-2.19793162418112,0.945197263298903,-1.4410106691511,0.340291689373636,-0.501146267115527,-0.346613814793729,-2.35098248782073,1.04552453471122,-1.43070353345056,0.43937529043165,-0.495169386753768,-0.394717126065151,-2.43099309319229,1.11179231957689,-1.46252087321287,0.40211361787632,-0.394850231718247,-0.364708194808911,-2.25886133491799,1.18948629019504,-1.36196628198065,0.458988277875277,-0.303711415058916,-0.224571515845776,-1.72390057552965,0.999796631723426,-1.09329145582158,0.414957497504845,-0.44461108846091,-0.285754881366774,-2.22073406882485,1.09848276430272,-1.44875608580417,0.496717592410178,-0.413185713106051,-0.342297072697394,-2.16044717999376,1.01169333208982,-1.31782325185059,0.451644610520359,-0.443046008958152,-0.318296230023612,-2.26497260603239,0.961051263693753,-1.34031907606897,0.422398376490884,-0.408665466918502,-0.301532042888655,-2.19205181065507,0.981550756833075,-1.38014151840508,0.480234245372205,-3.92182602222184,-2.9625371354358
106,"Var_8",-0.220724433715043,-0.194956360295038,-1.84675955389523,1.33273662353939,-1.02670324568562,0.621536309143091,-0.169580439881523,-0.0804646737513469,-2.07512782187301,1.3824652655646,-1.03050144978474,0.714287219188921,-0.198598014970019,-0.166956236824252,-1.82316022120638,1.30870357643689,-1.09619529712045,0.600482458807999,-0.0726233022315729,-0.089323289296298,-1.69492547896903,1.44192272321088,-1.00563070157856,0.75623193486549,0.058689725202065,0.093787640282531,-1.24496424337492,1.42266130474167,-0.650601287556373,0.774328563800108,-0.156898503033582,-0.0792183751156477,-1.79052092467077,1.28876575849424,-1.01485385180103,0.74142629003407,-0.0992578325641923,-0.0814910857249295,-1.62652183177709,1.45444845775057,-0.913834797082694,0.752347599484958,-0.135461101448755,-0.0817662179193951,-1.84916199431156,1.23267019864493,-0.990473302256882,0.676361337265799,-0.0990481519723688,-0.0679850974626473,-1.84158621327705,1.39338488415346,-0.982408720112428,0.74226403036108,-1.09350205461499,-0.748373696107023
107,"Var_8",-0.374483165276178,-0.314534412026755,-1.85196203178364,1.13604793177824,-1.19195943868617,0.446409448974976,-0.323776878251825,-0.250483337912624,-2.12530380536259,1.12209430985514,-1.19925589704515,0.562104525465168,-0.341965648775953,-0.299740373754845,-2.11202384950736,1.06767220217246,-1.20781365545542,0.466840397500194,-0.235587509566344,-0.239409470810943,-1.81880302106103,1.21792305627644,-1.12262631170629,0.551148374037659,-0.355392723464841,-0.323961103379649,-1.68218271128016,0.841123172471196,-1.02956781225306,0.351846358053791,-0.332007871737535,-0.23841692749504,-1.85942175505992,1.10889314853752,-1.17398456677151,0.50158311714789,-0.270396027842214,-0.233064631163386,-1.78486754380781,1.11377961671389,-1.07140770962673,0.563146332265047,-0.271538365862462,-0.235648285848212,-1.90544840910843,1.03780036036376,-1.1088953006542,0.526554445720325,-0.276754147188793,-0.262658073989895,-1.87399037419054,1.16717133860864,-1.10593810150024,0.590797112109982,-2.78190233796614,-2.39791661638135
108,"Var_8",-0.277054564980223,-0.20154962208032,-1.95641855597516,1.37753549992976,-1.2069251585231,0.622912964423786,-0.264113498429631,-0.185775294737346,-2.03631447488482,1.31223575660944,-1.18232211770312,0.664340183617602,-0.263337874792395,-0.234320941913497,-2.09286157041583,1.27658444564585,-1.20283488492463,0.618315813713046,-0.189117358114028,-0.179674857638235,-1.88239682164097,1.34598269527697,-1.17281440345745,0.663494834112733,-0.327296178331796,-0.300509295852047,-1.62548835369412,0.984911639127806,-1.08833979362132,0.424265440792305,-0.299029056644676,-0.223842720579107,-1.98759364898307,1.20933971011227,-1.18706945623681,0.630838267796527,-0.20731615186133,-0.177548630012941,-1.76195765041485,1.33583262499385,-1.06839171577194,0.67508375406478,-0.216981218648207,-0.185748698135082,-1.85364977159823,1.37683338771374,-1.10122205048428,0.667580979370841,-0.240803323580541,-0.193026623298942,-2.0582412387015,1.32436543358275,-1.11695431678915,0.627302943290696,-2.28504922538283,-1.88199668424752
109,"Var_8",-0.0300940996483954,-0.0204902199342595,-1.60960652023132,1.57744181968911,-0.796303184249042,0.852540753392415,-0.0268694603420843,0.0117222971009324,-1.61912943233505,1.51320144894764,-0.812870024225138,0.861302535115702,-0.0218814121024794,-0.00880023237931329,-1.72171160906037,1.50843275195617,-0.899746778458292,0.792547754155586,0.0810072367984765,0.040447830001447,-1.61314088451706,1.69390522483869,-0.847759758566844,0.879930516996861,0.00461994620430256,0.011573615614867,-1.23369422370765,1.2726650666715,-0.669913302954616,0.718857112403659,-0.0513898035278422,-0.00379037856900319,-1.54354022081368,1.46609895700388,-0.836747520599385,0.820588274587648,0.0064425682915316,0.00995738923827024,-1.36473194815413,1.46772819101949,-0.801991604748128,0.827138363124478,0.027170769022689,0.0297561108990557,-1.50475785330974,1.43431521840385,-0.836882990321257,0.862312015467364,0.0429910855674378,0.0760505888015046,-1.45268313278581,1.50176899839508,-0.803767206820406,0.828021959347628,0.0319968302636362,0.146427000773501
110,"Var_8",0.174675990808628,0.119017784574877,-1.39203909253553,2.01202925216742,-0.68178492266329,1.13512136012314,0.153878386703235,0.11637348174183,-1.41168991467553,1.90984450446368,-0.705532936001797,1.12364467947031,0.171258810107713,0.144152775468346,-1.5187823899582,1.78652116140773,-0.685651764370614,1.00976268452119,0.29926766399917,0.20978546085065,-1.31422897351178,1.89390783726157,-0.629712627717839,1.20173979558664,0.243235496164161,0.207030072104451,-1.04986489612259,1.59731910646474,-0.491784314349785,0.97235180690074,0.140811248250311,0.1370572244827,-1.36562622310905,1.7821827399977,-0.691150468476599,1.10408210795632,0.182047201263345,0.145680501979181,-1.28573411678415,1.86144587817876,-0.627946543491293,1.04461778553212,0.222928548231208,0.180359812712986,-1.3425314393594,1.8831469160388,-0.654043316251389,1.05646975202823,0.25986813270925,0.201074948098895,-1.28826086247557,1.97749521945242,-0.571382087767068,1.0973109653615,1.84797147823702,1.46053206201391
111,"Var_8",-0.191564150157096,-0.214131887861664,-1.78418501886489,1.61368030930307,-1.00833536477573,0.747640905198715,-0.178408176982982,-0.139659854729917,-1.73576347972519,1.43467347824669,-0.943481582753863,0.670004715122352,-0.143947911967889,-0.170781354457653,-1.81103221755697,1.46570142393713,-1.0479188972702,0.729676888456077,-0.0531171119731226,-0.0925587083422305,-1.72516361364544,1.59519578613293,-0.994192492430503,0.774274061251594,-0.35309477795825,-0.32958937105579,-1.66168289779804,0.964231537843303,-1.11519702309537,0.393629631911854,-0.213762618524578,-0.183865626391201,-1.6597998749014,1.26546513638903,-1.03773702556496,0.675072685747847,-0.208899190643401,-0.22876308972401,-1.64340892024758,1.25825589618386,-0.995517388851704,0.636984820079059,-0.140886112579421,-0.172193851420294,-1.61373330871161,1.42690794185649,-0.9440192313345,0.669932904232585,-0.124225386664494,-0.153514995882769,-1.75720663024163,1.5639351891295,-1.0005227135247,0.79288445650563,-1.60790543745123,-1.68505873986553
112,"Var_8",-0.0745848419348917,-0.0641253988332219,-1.69301302111892,1.58041811698822,-0.871015002500056,0.857560675834719,-0.109349284311,-0.0835116255205928,-1.72880454504356,1.55775322919144,-0.917082354626938,0.780646458630983,-0.0613014333811609,-0.0522740230139554,-1.61736919634042,1.42753265540792,-0.959970086857194,0.756766251064806,0.0227140699854945,-0.0153279809713048,-1.48950162935628,1.48079716157078,-0.847840554827179,0.791950154339992,0.0198688558205593,0.0446763901188899,-1.27982549859581,1.34715128209784,-0.716666713660649,0.791144334317726,-0.11876254173398,-0.0767998894039157,-1.53192271506062,1.41100813014087,-0.928751187704307,0.72359160527789,-0.104917787761438,-0.103205413098479,-1.50083188728906,1.37713199274197,-0.83987465801623,0.703768671865532,-0.0854910324367984,-0.106947100292713,-1.681382153314,1.3698778012455,-0.885652882839757,0.69737558436051,-0.0348901260489309,-0.0241336733096063,-1.65051461527439,1.50163207934718,-0.903838724463336,0.798060564514792,-0.546714121802147,-0.4816487143249
113,"Var_8",0.00849152685943709,0.0314628089218038,-1.3301444455054,1.52767391488466,-0.732207027106121,0.785573742298775,0.0139055791333486,0.0675569190836673,-1.38253526556546,1.43169025938708,-0.707189442788642,0.821786894852299,0.0173549045429305,-0.0157789189056247,-1.46102136022763,1.45540210248594,-0.722363784436154,0.740946820888966,0.0995195499415057,0.035685994629135,-1.35891633401778,1.5354154460713,-0.739265178265221,0.881240107548887,-0.0847601984255168,-0.0705970116989994,-1.38776326005063,1.14557345699554,-0.727605056489521,0.661860823809982,-0.0154885163684316,0.0229423784775235,-1.35734675686872,1.36986458403776,-0.700826547143992,0.812545743589473,-0.00952634834995935,0.0136361445597856,-1.47320843946401,1.40185627491364,-0.752155471112365,0.768276753709336,-0.00243036505678641,0.000914163664433445,-1.41064180120173,1.38046182178176,-0.77994563054805,0.778055953990487,0.0498237846413579,0.0401602710879079,-1.32609677864623,1.41334859956443,-0.756358756897056,0.802024886529791,0.0768899169178857,0.125982749819633
