"Variable","Shock","Horizon","Mean","Median","Lower_90","Lower_68","Upper_68","Upper_90"
"consumption_growth","real_house_price_growth",2,0.00243722486038461,0.00173344775617089,-0.294233390757367,-0.178561861221463,0.184120057109103,0.303087169007735
"consumption_growth","real_house_price_growth",3,-0.00122346308084278,-0.000329811060055018,-0.184021237548058,-0.110232745721887,0.107862355088437,0.179194417457694
"consumption_growth","real_house_price_growth",4,-0.000895782806347605,-0.000997613340464075,-0.135984060416304,-0.0825999843581921,0.0807423324555592,0.137922304921368
"consumption_growth","real_house_price_growth",5,-0.000470025789451769,-0.00142058100553765,-0.129238315694506,-0.0763231880814402,0.0760125471272737,0.128141957812431
"consumption_growth","real_house_price_growth",6,0.000212457168279532,-1.67284284604255e-05,-0.0814976279139618,-0.0481782486834448,0.0485103302316353,0.0838551679495507
"consumption_growth","real_house_price_growth",7,-0.0002669306189157,-0.000978774701892231,-0.0754703704358462,-0.0442524722820368,0.044388709506015,0.0784432994789126
"consumption_growth","real_house_price_growth",8,-0.000200658645038498,0.000484215856578253,-0.0605082670169519,-0.0354039398644913,0.0338004234612254,0.0602475196877768
"consumption_growth","real_house_price_growth",9,8.68829327785068e-05,3.98572735048602e-05,-0.0569484039539464,-0.0321477701601472,0.0322089797868991,0.0592992544955002
"consumption_growth","real_house_price_growth",10,-6.95522680767907e-06,0.000316182332581304,-0.0516993998055789,-0.0289325155593971,0.028814171681648,0.0518372512307728
"consumption_growth","real_house_price_growth",11,5.15252776605255e-05,-4.58283899911456e-05,-0.0469215616413983,-0.0252947098132222,0.0257364617776207,0.0487617560124614
"consumption_growth","real_house_price_growth",12,-7.13125462543036e-05,0.000162883290045864,-0.0471711102203507,-0.0249357771015193,0.025449221829617,0.0470684743337081
"consumption_growth","real_house_price_growth",13,-2.25913434545721e-05,-0.000448983633663654,-0.0413274936206269,-0.0224369908590174,0.022618621403573,0.041226436044576
"consumption_growth","real_house_price_growth",14,-0.000169505491724791,0.000274497261846878,-0.0419302181734807,-0.0227711398347892,0.0224291805301715,0.042744438773431
"consumption_growth","real_house_price_growth",15,-0.000141949003245052,7.12451390906532e-05,-0.0378687230409006,-0.0200270471692077,0.0196713066643532,0.0381297011038706
"consumption_growth","real_house_price_growth",16,-0.000314898119602179,2.78219003835146e-05,-0.0379355979934333,-0.0207213294228894,0.0198998622114112,0.0374209146900239
"consumption_growth","real_house_price_growth",17,-0.000225377906927915,-9.96390409894786e-05,-0.0342829927405886,-0.0184454565820152,0.0177376141050331,0.0337324425768802
"consumption_growth","real_house_price_growth",18,-0.000340510154602514,0.000100834508108463,-0.033998722548267,-0.0188034903524496,0.0177651125972972,0.0331181434021663
"consumption_growth","real_house_price_growth",19,-0.000241988033690315,-0.000130454894748393,-0.0309186802647607,-0.0168165942150284,0.0162210743007239,0.0312870262749127
"consumption_growth","real_house_price_growth",20,-0.000331544016410507,-9.28734818010405e-05,-0.0314210659727235,-0.0170993340973817,0.0156176370300121,0.0311702680291692
"consumption_growth","real_house_price_growth",21,-0.000181600563413346,-0.000145946002526258,-0.0293272752146771,-0.0155010650510125,0.0147414663200247,0.0305079812577218
"consumption_growth","asset_liability_ratio",1,-0.00220517125195517,-0.00748520154167375,-0.709498769232713,-0.461408797880992,0.454201053242397,0.701962047761575
"consumption_growth","asset_liability_ratio",2,-0.000546950109781853,-0.00154866186013004,-0.288608199776501,-0.176911715652899,0.174912427898964,0.292565961319509
"consumption_growth","asset_liability_ratio",3,-0.0027978699135261,-0.00273750169994733,-0.18374600668546,-0.111897367003446,0.106097788819414,0.17946052669802
"consumption_growth","asset_liability_ratio",4,-0.000713017053469095,-0.00163706262655938,-0.138036261953305,-0.082786713969579,0.0813784345664445,0.137437891833462
"consumption_growth","asset_liability_ratio",5,-0.000509813152324423,-6.516888973334e-05,-0.126903114402961,-0.0767881076414264,0.0758929520131616,0.128242689580378
"consumption_growth","asset_liability_ratio",6,0.000358895342214116,9.92895906198948e-05,-0.0826034821825724,-0.0480248783295448,0.0486284376659797,0.0818277151179524
"consumption_growth","asset_liability_ratio",7,-0.000170729447483972,-0.000507229177299699,-0.0765619494423644,-0.044129205876007,0.0443103549107774,0.0775095205908948
"consumption_growth","asset_liability_ratio",8,2.21195124547737e-05,0.000228455737249973,-0.0627307501700119,-0.0361348775809269,0.0358960056191957,0.0642085983788604
"consumption_growth","asset_liability_ratio",9,0.000108887788097833,-0.000216434340260065,-0.0569222456849663,-0.0328264631858647,0.0331007346425736,0.0580771926041287
"consumption_growth","asset_liability_ratio",10,-1.78496330871391e-05,0.000112771726779127,-0.0521229847433948,-0.0292824979491653,0.0293489171113741,0.052724467329528
"consumption_growth","asset_liability_ratio",11,-6.58851229816438e-05,6.03793870427999e-05,-0.0473736173733956,-0.0260866466663264,0.0260259454695478,0.0477400676652875
"consumption_growth","asset_liability_ratio",12,-0.000135086304380866,0.000572985600276184,-0.0477178389675269,-0.0260334555452472,0.0249090776276504,0.0467779062939761
"consumption_growth","asset_liability_ratio",13,3.87033168511558e-05,5.9639707600357e-05,-0.0419094253070337,-0.0233149213458167,0.0231191587248516,0.0428749581379153
"consumption_growth","asset_liability_ratio",14,-5.76364310972436e-05,0.000110220998685752,-0.0426347841217528,-0.0229103685544769,0.0223064193381272,0.0420124155320903
"consumption_growth","asset_liability_ratio",15,2.18105948191329e-05,0.000274182883862347,-0.0385885082484233,-0.0208998563011112,0.0204217128807384,0.0383105179714618
"consumption_growth","asset_liability_ratio",16,5.01779130378131e-05,-2.12155273691828e-05,-0.0387626512406822,-0.0204194867183901,0.0206034419359917,0.0388099683006058
"consumption_growth","asset_liability_ratio",17,0.000222329003670241,0.000387191110006042,-0.035378578633565,-0.0184067215275645,0.0186738328678087,0.035411316314802
"consumption_growth","asset_liability_ratio",18,0.000266207235811168,0.000291254414752731,-0.0344057118919672,-0.0178138788767343,0.0181551160954037,0.0351444134554272
"consumption_growth","asset_liability_ratio",19,0.000365378598521885,0.000331456917756903,-0.0322590412864088,-0.0163340572079122,0.0171690658753197,0.0333649703766856
"consumption_growth","asset_liability_ratio",20,0.000393008610931895,0.000172057529107246,-0.0312158638185635,-0.0161376419134247,0.0164625421318693,0.0328395442436522
"consumption_growth","asset_liability_ratio",21,0.000504484722656087,0.000349805262279529,-0.0294351666256573,-0.0148511208351223,0.0154993299787063,0.0307650464851486
"cpi_growth","gdp_growth",1,0.001774433336612,0.000546920826311795,-0.275668091605939,-0.17745802579416,0.182417933356878,0.27219248138439
"cpi_growth","gdp_growth",2,0.00196526244512565,0.00362675787618248,-0.146903416829292,-0.0906038513665346,0.0953038513130144,0.147279279691275
"cpi_growth","gdp_growth",3,0.00137721925336162,0.00150642363579667,-0.143998213203931,-0.0857746004695713,0.0919823428186932,0.142366780830885
"cpi_growth","gdp_growth",4,0.00128074585875817,0.00052858185156052,-0.0931726259530131,-0.0539886295046294,0.0578797679475845,0.0947246697896878
"cpi_growth","gdp_growth",5,0.000141252324374343,0.000144811962971536,-0.103630139947441,-0.0629169910070094,0.0630570025075594,0.10025454285723
"cpi_growth","gdp_growth",6,2.41643838593822e-05,0.000257227727088533,-0.0746027814031135,-0.0441742594597618,0.044251544197839,0.0754568068478497
"cpi_growth","gdp_growth",7,-0.00035954532711285,-8.7823536943253e-05,-0.067076457285469,-0.0398730840882917,0.0383656561963999,0.0653448035487668
"cpi_growth","gdp_growth",8,-0.000159280366720657,-0.0017706053681376,-0.0651397723765238,-0.0385547699,0.038956357115036,0.0650788098654217
"cpi_growth","gdp_growth",9,-0.00039911895742533,-0.000466682589996993,-0.0565120802403177,-0.0330431402165883,0.0325613431995652,0.0572616531176769
"cpi_growth","gdp_growth",10,-0.00022186693582873,-0.00117763891005334,-0.060905899410207,-0.0366257910971812,0.0365828782365991,0.0622631386051179
"cpi_growth","gdp_growth",11,-0.000177291784524695,-0.000584910002385101,-0.0530445089132538,-0.0305759457365788,0.0303846915695605,0.0539631714738936
