quarter,gdp_growth,consumption_growth,debt_growth,asset_liability_ratio,saving_rate,debt_income,interest_burden,real_house_price_growth,policy_rate
2015K1,1.2,1.2,1.2951433922616218,3.4020842008295396,10,169.4,4.7,2.6224084117179913,-0.06048387096774194
2015K2,2.5,0.9,2.0393615800276876,3.325273015809702,22.6,170.3,3.5,3.225600650794913,-0.25
2015K3,-0.1,0.8,1.5426836827131751,3.251240308424671,6.2,172.4,4.2,3.5548516142524633,-0.3424242424242424
2015K4,1,1,1.9355100557275406,3.2773136552729176,1,174.6,4.1,2.3096212842713015,-0.35
2016K1,-0.5,0,2.1817721027799664,3.2269711008150486,11.9,176,4,0.21558734847895167,-0.4237704918032787
2016K2,1.1,0.1,2.1719432089255974,3.180436539121679,23.2,178,3.2,1.5898918013063756,-0.5
2016K3,0.3,0.9,1.3975297832898192,3.283217349127657,6.4,179.4,4.1,3.056627840799564,-0.5
2016K4,0.6,0.8,1.624949221514882,3.3107977680591163,3.4,180.5,4,-0.19096388930828212,-0.5
2017K1,0.8,1.5,1.4372144913135543,3.401570551615501,7.3,182.9,4,1.9241183535905648,-0.5
2017K2,0.2,-0.5,1.9966514662177914,3.373151565115637,24.2,183.3,3.1,2.3155134572268032,-0.5
2017K3,0.3,0.3,1.595442615973397,3.360140765268955,6.3,184.6,4,1.5258607360114418,-0.5
2017K4,0.6,0.9,1.3485441366947626,3.2872447294792564,3.5,184.6,3.9,-0.222320665487441,-0.5
2018K1,0.5,0.7,1.279898600192908,3.279328581206837,13.4,183,3.8,-0.9495362675790986,-0.5
2018K2,0.6,0.8,1.4359946793756961,3.321666742128231,19.9,186.9,3.3,-2.2351879551522735,-0.5
2018K3,-0.2,-0.5,1.0302561937402643,3.371861309265591,8.3,186.5,3.8,-0.24081156391053682,-0.5
2018K4,1.3,0.7,1.5867250528417642,3.1435644205910713,6.5,186.6,3.7,-0.32047014304321664,-0.5
2019K1,0.3,-0.6,0.9841704186765554,3.310444692689134,15.7,186.6,3.8,0.4230172668119536,-0.2698412698412698
2019K2,1.3,0.5,1.4125357136689942,3.368592568060409,22.8,186.8,3.4,0.06955380111790532,-0.25
2019K3,-0.3,1.2,1.0144721196096995,3.400009492467222,9.1,186.9,4,1.7682086119209295,-0.25
2019K4,1.7,0.1,1.3542755949909946,3.4813667982577172,9.1,187.4,3.9,-0.14020416561830729,-0.25
2020K1,0,0.8,1.2550359588384907,3.2682814101204185,13.4,188.2,4,2.0031367816517154,-0.011904761904761904
2020K2,-8.8,-9.8,2.1173693528870885,3.410811669557592,22.4,193.6,3.8,1.738138624064245,0
2020K3,6,6.3,0.9609842912725597,3.543624219587472,11.7,195.6,4.2,1.911689636160574,0
2020K4,1.4,-0.3,1.4866757634365513,3.6114277662007614,11.9,197.5,4,3.797436521919728,0
2021K1,2.6,2.1,1.3819665752020427,3.7543488000142005,20.9,197.4,3.8,3.239738272889525,0
2021K2,0.4,1.3,1.8075426819772034,3.816891084899764,21.5,196.7,3.4,5.149016444217036,0
2021K3,-0.2,3.9,1.5829271587520566,3.7854443088617646,8.7,197.3,3.9,4.24123175540716,0
2021K4,2.1,0.9,1.8143144755191187,3.912825728049559,7.7,198,3.7,-1.2449007869935969,0
2022K1,-0.6,-0.4,1.3999720205257304,3.7263678426224756,18.1,196.8,3.3,-0.7303746910980458,0
2022K2,1.1,1.5,1.4340961746166059,3.407226913498946,19,194.4,3.2,-0.824438097026281,0.1625
2022K3,-0.5,-1.3,0.539852309125699,3.3269113887540005,5.7,192.8,4.5,-3.861695267996179,0.8484848484848485
2022K4,-1.1,-0.7,0.5198639391528204,3.3901728573593894,7.8,189.1,5.2,-9.316284480981007,2.0078125
2023K1,1.2,-1.3,0.0903870911463045,3.5302515508366965,17.8,186.4,5.6,-6.175534538442307,2.7578125
2023K2,-1,0.4,0.35004417948911737,3.5889925452499805,21.2,184,5.7,-3.2788552104855206,3.3389830508474576
2023K3,1.5,0,0.12239229600723434,3.499221757887679,9.1,181.3,7.2,-0.4302449044179646,3.753846153846154
2023K4,-1.6,0.9,0.18355481121652417,3.5946885199751755,8.9,179.9,7.5,-2.1481446396135695,4
2024K1,3,0.2,-0.02835653081696421,3.8214588989596376,19.1,178.4,7.7,-1.6310059905035423,4
2024K2,-1.3,0,0.38937681095791987,3.8968793486576083,23.8,176.5,6.9,0.6565919580941326,3.870833333333333
2024K3,0.8,0.5,0.1796861962985119,3.9509679324314546,10.2,175.5,7.9,2.492876184617554,3.640151515151515
2024K4,1.2,0.8,0.7158944106937071,3.9393088658185893,10.9,174.4,7,-0.9918921005742654,3.004032258064516
2025K1,-0.5,0.4,0.19574337582071166,3.875569413906347,15.9,174.1,6.2,0.08967571766644866,2.3548387096774195
2025K2,1.1,0.2,0.7603919668687453,3.9852301437023607,21.7,173.9,5.3,0.6844122844597678,2.233050847457627
2025K3,0.4,1,0.4954440539965077,4.026287996914202,7.1,173.2,5.9,0.3484363129711454,2
2025K4,0.8,0.6,0.8186005689593046,4.070435151347668,8,172.7,5.5,-1.0825488550531226,1.75
