quarter,gdp_growth,consumption_growth,asset_liability_ratio,saving_rate,debt_income,interest_burden,real_house_price_growth,policy_rate,debt_growth
2015K3,-0.1,0.8,3.25124030842467,9.90833345052405,172.4,4.2,3.55485161425246,-0.342424242424242,1.77425334531623
2015K4,1,1,3.27731365527292,8.88840403891441,174.6,4.1,2.3096212842713,-0.35,1.85682682567504
2016K1,-0.5,0,3.22697110081505,11.859644841553,176,4,0.215587348478952,-0.423770491803279,2.28688031160672
2016K2,1.1,0.1,3.18043653912168,11.5314862461771,178,3.2,1.58989180130638,-0.5,1.86532503983385
2016K3,0.3,0.9,3.28321734912766,10.4089864008235,179.4,4.1,3.05662784079956,-0.5,1.63491538046954
2016K4,0.6,0.8,3.31079776805912,10.7930944213314,180.5,4,-0.190963889308282,-0.5,1.61113435887252
2017K1,0.8,1.5,3.4015705516155,7.38008523976126,182.9,4,1.92411835359056,-0.5,1.56259874287812
2017K2,0.2,-0.5,3.37315156511564,12.9640075051011,183.3,3.1,2.3155134572268,-0.5,1.69297261946784
2017K3,0.3,0.3,3.36014076526896,10.4980421137082,184.6,4,1.52586073601144,-0.5,1.75930749138455
2017K4,0.6,0.9,3.28724472947926,10.4370933236826,184.6,3.9,-0.222320665487441,-0.5,1.32066928031496
2018K1,0.5,0.7,3.27932858120684,12.5115433296582,183,3.8,-0.949536267579099,-0.5,1.42189081112875
2018K2,0.6,0.8,3.32166674212823,10.110405492906,186.9,3.3,-2.23518795515227,-0.5,1.1795438086989
2018K3,-0.2,-0.5,3.37186130926559,12.6133647863307,186.5,3.8,-0.240811563910537,-0.5,1.23690091012455
2018K4,1.3,0.7,3.14356442059107,12.7744170327447,186.6,3.7,-0.320470143043217,-0.5,1.4658218461475
2019K1,0.3,-0.6,3.31044469268913,14.2198515687781,186.6,3.8,0.423017266811954,-0.26984126984127,1.14929699679321
2019K2,1.3,0.5,3.36859256806041,13.9474220696104,186.8,3.4,0.0695538011179053,-0.25,1.11755383574447
2019K3,-0.3,1.2,3.40000949246722,13.6370368104576,186.9,4,1.76820861192093,-0.25,1.27484537001671
2019K4,1.7,0.1,3.48136679825772,14.6399243688409,187.4,3.9,-0.140204165618307,-0.25,1.26809418689456
2020K1,0,0.8,3.26828141012042,11.5529759934123,188.2,4,2.00313678165172,-0.0119047619047619,1.40973110216721
2020K2,-8.8,-9.8,3.41081166955759,14.4738155723499,193.6,3.8,1.73813862406424,0,1.73644435075611
2020K3,6,6.3,3.54362421958747,16.5281316050067,195.6,4.2,1.91168963616057,0,1.25479763165398
2020K4,1.4,-0.3,3.61142776620076,17.1698119599057,197.5,4,3.79743652191973,0,1.41551316384974
2021K1,2.6,2.1,3.7543488000142,17.7899973421688,197.4,3.8,3.23973827288953,0,1.52928971749447
2021K2,0.4,1.3,3.81689108489976,14.2831465591632,196.7,3.4,5.14901644421704,0,1.51211690769344
2021K3,-0.2,3.9,3.78544430886176,14.0968419230462,197.3,3.9,4.24123175540716,0,1.80266466122598
2021K4,2.1,0.9,3.91282572804956,13.0521063353823,198,3.7,-1.2449007869936,0,1.71946935680187
2022K1,-0.6,-0.4,3.72636784262248,14.2736327494369,196.8,3.3,-0.730374691098046,0,1.5381474492792
