"quarter","gdp_growth","consumption_growth","asset_liability_ratio","saving_rate","debt_income","interest_burden","real_house_price_growth","policy_rate","debt_growth"
"2013K4",0.6,0.4,2.96504382289781,4,164.6,5.5,0.769618932242722,0.975806451612903,1.42392196808245
"2014K1",0.5,0.5,3.03352785230947,13,165.5,5.5,2.32506000162234,0.75,0.686269786847937
"2014K2",0.6,1.3,3.12844991488582,23.5,165.6,4.4,1.80600906786204,0.75,1.63717146169109
"2014K3",0.8,0.3,3.1661183170357,9.7,166.6,5.2,3.22872184514296,0.295454545454545,1.19483602034887
"2014K4",0.2,1.3,3.2193402013631,4.7,168.2,4.9,1.07725104681018,0.0806451612903226,1.73490617810526
"2015K1",1.2,1.2,3.40208420082954,10,169.4,4.7,2.62240841171799,-0.0604838709677419,1.29514339226162
"2015K2",2.5,0.9,3.3252730158097,22.6,170.3,3.5,3.22560065079491,-0.25,2.03936158002769
"2015K3",-0.1,0.8,3.25124030842467,6.2,172.4,4.2,3.55485161425246,-0.342424242424242,1.54268368271318
"2015K4",1,1,3.27731365527292,1,174.6,4.1,2.3096212842713,-0.35,1.93551005572754
"2016K1",-0.5,0,3.22697110081505,11.9,176,4,0.215587348478952,-0.423770491803279,2.18177210277997
"2016K2",1.1,0.1,3.18043653912168,23.2,178,3.2,1.58989180130638,-0.5,2.1719432089256
"2016K3",0.3,0.9,3.28321734912766,6.4,179.4,4.1,3.05662784079956,-0.5,1.39752978328982
"2016K4",0.6,0.8,3.31079776805912,3.4,180.5,4,-0.190963889308282,-0.5,1.62494922151488
"2017K1",0.8,1.5,3.4015705516155,7.3,182.9,4,1.92411835359056,-0.5,1.43721449131355
"2017K2",0.2,-0.5,3.37315156511564,24.2,183.3,3.1,2.3155134572268,-0.5,1.99665146621779
"2017K3",0.3,0.3,3.36014076526896,6.3,184.6,4,1.52586073601144,-0.5,1.5954426159734
"2017K4",0.6,0.9,3.28724472947926,3.5,184.6,3.9,-0.222320665487441,-0.5,1.34854413669476
"2018K1",0.5,0.7,3.27932858120684,13.4,183,3.8,-0.949536267579099,-0.5,1.27989860019291
"2018K2",0.6,0.8,3.32166674212823,19.9,186.9,3.3,-2.23518795515227,-0.5,1.4359946793757
"2018K3",-0.2,-0.5,3.37186130926559,8.3,186.5,3.8,-0.240811563910537,-0.5,1.03025619374026
"2018K4",1.3,0.7,3.14356442059107,6.5,186.6,3.7,-0.320470143043217,-0.5,1.58672505284176
"2019K1",0.3,-0.6,3.31044469268913,15.7,186.6,3.8,0.423017266811954,-0.26984126984127,0.984170418676555
"2019K2",1.3,0.5,3.36859256806041,22.8,186.8,3.4,0.0695538011179053,-0.25,1.41253571366899
"2019K3",-0.3,1.2,3.40000949246722,9.1,186.9,4,1.76820861192093,-0.25,1.0144721196097
"2019K4",1.7,0.1,3.48136679825772,9.1,187.4,3.9,-0.140204165618307,-0.25,1.35427559499099
"2020K1",0,0.8,3.26828141012042,13.4,188.2,4,2.00313678165172,-0.0119047619047619,1.25503595883849
"2020K2",-8.8,-9.8,3.41081166955759,22.4,193.6,3.8,1.73813862406424,0,2.11736935288709
"2020K3",6,6.3,3.54362421958747,11.7,195.6,4.2,1.91168963616057,0,0.96098429127256
"2020K4",1.4,-0.3,3.61142776620076,11.9,197.5,4,3.79743652191973,0,1.48667576343655
"2021K1",2.6,2.1,3.7543488000142,20.9,197.4,3.8,3.23973827288953,0,1.38196657520204
"2021K2",0.4,1.3,3.81689108489976,21.5,196.7,3.4,5.14901644421704,0,1.8075426819772
"2021K3",-0.2,3.9,3.78544430886176,8.7,197.3,3.9,4.24123175540716,0,1.58292715875206
"2021K4",2.1,0.9,3.91282572804956,7.7,198,3.7,-1.2449007869936,0,1.81431447551912
"2022K1",-0.6,-0.4,3.72636784262248,18.1,196.8,3.3,-0.730374691098046,0,1.39997202052573
"2022K2",1.1,1.5,3.40722691349895,19,194.4,3.2,-0.824438097026281,0.1625,1.43409617461661
"2022K3",-0.5,-1.3,3.326911388754,5.7,192.8,4.5,-3.86169526799618,0.848484848484849,0.539852309125699
"2022K4",-1.1,-0.7,3.39017285735939,7.8,189.1,5.2,-9.31628448098101,2.0078125,0.51986393915282
"2023K1",1.2,-1.3,3.5302515508367,17.8,186.4,5.6,-6.17553453844231,2.7578125,0.0903870911463045
"2023K2",-1,0.4,3.58899254524998,21.2,184,5.7,-3.27885521048552,3.33898305084746,0.350044179489117
"2023K3",1.5,0,3.49922175788768,9.1,181.3,7.2,-0.430244904417965,3.75384615384615,0.122392296007234
"2023K4",-1.6,0.9,3.59468851997518,8.9,179.9,7.5,-2.14814463961357,4,0.183554811216524
"2024K1",3,0.2,3.82145889895964,19.1,178.4,7.7,-1.63100599050354,4,-0.0283565308169642
"2024K2",-1.3,0,3.89687934865761,23.8,176.5,6.9,0.656591958094133,3.87083333333333,0.38937681095792
"2024K3",0.8,0.5,3.95096793243145,10.2,175.5,7.9,2.49287618461755,3.64015151515152,0.179686196298512
"2024K4",1.2,0.8,3.93930886581859,10.9,174.4,7,-0.991892100574265,3.00403225806452,0.715894410693707
"2025K1",-0.5,0.4,3.87556941390635,15.9,174.1,6.2,0.0896757176664487,2.35483870967742,0.195743375820712
"2025K2",1.1,0.2,3.98523014370236,21.7,173.9,5.3,0.684412284459768,2.23305084745763,0.760391966868745
"2025K3",0.4,1,4.0262879969142,7.1,173.2,5.9,0.348436312971145,2,0.495444053996508
"2025K4",0.8,0.6,4.07043515134767,8,172.7,5.5,-1.08254885505312,1.75,0.818600568959305
