type of use,quarter,"Constant prices, reference year 2025, SEK million"
-- gross fixed capital formation,2014K2,331372
-- gross fixed capital formation,2014K3,288092
-- gross fixed capital formation,2014K4,361322
-- gross fixed capital formation,2015K1,296592
-- gross fixed capital formation,2015K2,355532
-- gross fixed capital formation,2015K3,303621
-- gross fixed capital formation,2015K4,395697
-- gross fixed capital formation,2016K1,305834
-- gross fixed capital formation,2016K2,378020
-- gross fixed capital formation,2016K3,324811
-- gross fixed capital formation,2016K4,409524
-- gross fixed capital formation,2017K1,328865
-- gross fixed capital formation,2017K2,387326
-- gross fixed capital formation,2017K3,344957
-- gross fixed capital formation,2017K4,415197
-- gross fixed capital formation,2018K1,346772
-- gross fixed capital formation,2018K2,392996
-- gross fixed capital formation,2018K3,336019
-- gross fixed capital formation,2018K4,419399
-- gross fixed capital formation,2019K1,333479
-- gross fixed capital formation,2019K2,387024
-- gross fixed capital formation,2019K3,328281
-- gross fixed capital formation,2019K4,447696
-- gross fixed capital formation,2020K1,356484
-- gross fixed capital formation,2020K2,383723
-- gross fixed capital formation,2020K3,347040
-- gross fixed capital formation,2020K4,434629
-- gross fixed capital formation,2021K1,370964
-- gross fixed capital formation,2021K2,426502
-- gross fixed capital formation,2021K3,367586
-- gross fixed capital formation,2021K4,459752
-- gross fixed capital formation,2022K1,361646
-- gross fixed capital formation,2022K2,427910
-- gross fixed capital formation,2022K3,379051
-- gross fixed capital formation,2022K4,459451
-- gross fixed capital formation,2023K1,374020
-- gross fixed capital formation,2023K2,422054
-- gross fixed capital formation,2023K3,374061
-- gross fixed capital formation,2023K4,460082
-- gross fixed capital formation,2024K1,366690
-- gross fixed capital formation,2024K2,412944
-- gross fixed capital formation,2024K3,370345
-- gross fixed capital formation,2024K4,471056
-- gross fixed capital formation,2025K1,352805
-- gross fixed capital formation,2025K2,427210
-- gross fixed capital formation,2025K3,374775
-- gross fixed capital formation,2025K4,500051
-- gross fixed capital formation,2026K1,371577
"--- market producers, fixed capital formation",1980K1,NA
"--- market producers, fixed capital formation",1980K2,NA
"--- market producers, fixed capital formation",1980K3,NA
"--- market producers, fixed capital formation",1980K4,NA
"--- market producers, fixed capital formation",1981K1,106825
"--- market producers, fixed capital formation",1981K2,110248
"--- market producers, fixed capital formation",1981K3,95755
"--- market producers, fixed capital formation",1981K4,113878
"--- market producers, fixed capital formation",1982K1,106342
"--- market producers, fixed capital formation",1982K2,113951
"--- market producers, fixed capital formation",1982K3,95367
"--- market producers, fixed capital formation",1982K4,119147
"--- market producers, fixed capital formation",1983K1,109160
"--- market producers, fixed capital formation",1983K2,114460
"--- market producers, fixed capital formation",1983K3,101382
"--- market producers, fixed capital formation",1983K4,129828
"--- market producers, fixed capital formation",1984K1,117062
"--- market producers, fixed capital formation",1984K2,128371
"--- market producers, fixed capital formation",1984K3,110293
"--- market producers, fixed capital formation",1984K4,143119
"--- market producers, fixed capital formation",1985K1,131609
"--- market producers, fixed capital formation",1985K2,143449
"--- market producers, fixed capital formation",1985K3,122706
"--- market producers, fixed capital formation",1985K4,145786
"--- market producers, fixed capital formation",1986K1,129073
"--- market producers, fixed capital formation",1986K2,144649
"--- market producers, fixed capital formation",1986K3,126106
"--- market producers, fixed capital formation",1986K4,154699
"--- market producers, fixed capital formation",1987K1,136813
"--- market producers, fixed capital formation",1987K2,149631
"--- market producers, fixed capital formation",1987K3,136258
"--- market producers, fixed capital formation",1987K4,165156
"--- market producers, fixed capital formation",1988K1,145793
"--- market producers, fixed capital formation",1988K2,155240
"--- market producers, fixed capital formation",1988K3,139505
"--- market producers, fixed capital formation",1988K4,175058
"--- market producers, fixed capital formation",1989K1,156431
"--- market producers, fixed capital formation",1989K2,174712
"--- market producers, fixed capital formation",1989K3,152330
"--- market producers, fixed capital formation",1989K4,193546
"--- market producers, fixed capital formation",1990K1,161712
"--- market producers, fixed capital formation",1990K2,173520
"--- market producers, fixed capital formation",1990K3,158507
"--- market producers, fixed capital formation",1990K4,187490
"--- market producers, fixed capital formation",1991K1,154903
"--- market producers, fixed capital formation",1991K2,157093
"--- market producers, fixed capital formation",1991K3,136936
"--- market producers, fixed capital formation",1991K4,162438
"--- market producers, fixed capital formation",1992K1,140659
"--- market producers, fixed capital formation",1992K2,143638
"--- market producers, fixed capital formation",1992K3,120107
"--- market producers, fixed capital formation",1992K4,138288
"--- market producers, fixed capital formation",1993K1,103480
"--- market producers, fixed capital formation",1993K2,116590
"--- market producers, fixed capital formation",1993K3,99761
"--- market producers, fixed capital formation",1993K4,122426
"--- market producers, fixed capital formation",1994K1,107855
"--- market producers, fixed capital formation",1994K2,114926
"--- market producers, fixed capital formation",1994K3,102773
"--- market producers, fixed capital formation",1994K4,140820
"--- market producers, fixed capital formation",1995K1,117949
"--- market producers, fixed capital formation",1995K2,130301
"--- market producers, fixed capital formation",1995K3,119304
"--- market producers, fixed capital formation",1995K4,160519
"--- market producers, fixed capital formation",1996K1,130114
"--- market producers, fixed capital formation",1996K2,146067
"--- market producers, fixed capital formation",1996K3,124656
"--- market producers, fixed capital formation",1996K4,164770
"--- market producers, fixed capital formation",1997K1,129735
"--- market producers, fixed capital formation",1997K2,158471
"--- market producers, fixed capital formation",1997K3,125934
"--- market producers, fixed capital formation",1997K4,174615
"--- market producers, fixed capital formation",1998K1,142975
"--- market producers, fixed capital formation",1998K2,165674
"--- market producers, fixed capital formation",1998K3,142750
"--- market producers, fixed capital formation",1998K4,189406
"--- market producers, fixed capital formation",1999K1,153335
"--- market producers, fixed capital formation",1999K2,173257
"--- market producers, fixed capital formation",1999K3,158499
"--- market producers, fixed capital formation",1999K4,191755
"--- market producers, fixed capital formation",2000K1,164811
"--- market producers, fixed capital formation",2000K2,193035
"--- market producers, fixed capital formation",2000K3,170608
"--- market producers, fixed capital formation",2000K4,211364
"--- market producers, fixed capital formation",2001K1,177826
"--- market producers, fixed capital formation",2001K2,194777
"--- market producers, fixed capital formation",2001K3,169648
"--- market producers, fixed capital formation",2001K4,211765
"--- market producers, fixed capital formation",2002K1,166923
"--- market producers, fixed capital formation",2002K2,198356
"--- market producers, fixed capital formation",2002K3,171653
"--- market producers, fixed capital formation",2002K4,198819
"--- market producers, fixed capital formation",2003K1,178482
"--- market producers, fixed capital formation",2003K2,194448
"--- market producers, fixed capital formation",2003K3,171261
"--- market producers, fixed capital formation",2003K4,204163
"--- market producers, fixed capital formation",2004K1,174888
"--- market producers, fixed capital formation",2004K2,206522
"--- market producers, fixed capital formation",2004K3,186583
"--- market producers, fixed capital formation",2004K4,228445
"--- market producers, fixed capital formation",2005K1,185182
"--- market producers, fixed capital formation",2005K2,222745
"--- market producers, fixed capital formation",2005K3,201169
"--- market producers, fixed capital formation",2005K4,230862
"--- market producers, fixed capital formation",2006K1,204429
"--- market producers, fixed capital formation",2006K2,240281
"--- market producers, fixed capital formation",2006K3,216594
"--- market producers, fixed capital formation",2006K4,261275
"--- market producers, fixed capital formation",2007K1,230216
"--- market producers, fixed capital formation",2007K2,268244
"--- market producers, fixed capital formation",2007K3,230368
"--- market producers, fixed capital formation",2007K4,282253
"--- market producers, fixed capital formation",2008K1,238428
"--- market producers, fixed capital formation",2008K2,270806
"--- market producers, fixed capital formation",2008K3,232042
"--- market producers, fixed capital formation",2008K4,268299
"--- market producers, fixed capital formation",2009K1,201332
"--- market producers, fixed capital formation",2009K2,226774
"--- market producers, fixed capital formation",2009K3,194072
"--- market producers, fixed capital formation",2009K4,238511
"--- market producers, fixed capital formation",2010K1,190761
"--- market producers, fixed capital formation",2010K2,239433
"--- market producers, fixed capital formation",2010K3,215514
"--- market producers, fixed capital formation",2010K4,263085
"--- market producers, fixed capital formation",2011K1,212868
"--- market producers, fixed capital formation",2011K2,266391
"--- market producers, fixed capital formation",2011K3,228901
"--- market producers, fixed capital formation",2011K4,265133
"--- market producers, fixed capital formation",2012K1,221295
"--- market producers, fixed capital formation",2012K2,251460
"--- market producers, fixed capital formation",2012K3,210718
"--- market producers, fixed capital formation",2012K4,273160
"--- market producers, fixed capital formation",2013K1,206392
"--- market producers, fixed capital formation",2013K2,252042
"--- market producers, fixed capital formation",2013K3,222592
"--- market producers, fixed capital formation",2013K4,268743
"--- market producers, fixed capital formation",2014K1,226544
"--- market producers, fixed capital formation",2014K2,265015
"--- market producers, fixed capital formation",2014K3,230277
"--- market producers, fixed capital formation",2014K4,283777
"--- market producers, fixed capital formation",2015K1,238978
"--- market producers, fixed capital formation",2015K2,289067
"--- market producers, fixed capital formation",2015K3,245415
"--- market producers, fixed capital formation",2015K4,316509
"--- market producers, fixed capital formation",2016K1,252617
"--- market producers, fixed capital formation",2016K2,309432
"--- market producers, fixed capital formation",2016K3,262142
"--- market producers, fixed capital formation",2016K4,320048
"--- market producers, fixed capital formation",2017K1,275010
"--- market producers, fixed capital formation",2017K2,310490
"--- market producers, fixed capital formation",2017K3,278282
"--- market producers, fixed capital formation",2017K4,322603
"--- market producers, fixed capital formation",2018K1,284833
"--- market producers, fixed capital formation",2018K2,317247
"--- market producers, fixed capital formation",2018K3,265046
"--- market producers, fixed capital formation",2018K4,324681
"--- market producers, fixed capital formation",2019K1,270655
"--- market producers, fixed capital formation",2019K2,310684
"--- market producers, fixed capital formation",2019K3,254364
"--- market producers, fixed capital formation",2019K4,349977
"--- market producers, fixed capital formation",2020K1,291337
"--- market producers, fixed capital formation",2020K2,302580
"--- market producers, fixed capital formation",2020K3,267890
"--- market producers, fixed capital formation",2020K4,332508
"--- market producers, fixed capital formation",2021K1,300773
"--- market producers, fixed capital formation",2021K2,347855
"--- market producers, fixed capital formation",2021K3,296131
"--- market producers, fixed capital formation",2021K4,357823
"--- market producers, fixed capital formation",2022K1,301304
"--- market producers, fixed capital formation",2022K2,353916
"--- market producers, fixed capital formation",2022K3,307361
"--- market producers, fixed capital formation",2022K4,355881
"--- market producers, fixed capital formation",2023K1,310430
"--- market producers, fixed capital formation",2023K2,340444
"--- market producers, fixed capital formation",2023K3,296887
"--- market producers, fixed capital formation",2023K4,352217
"--- market producers, fixed capital formation",2024K1,296104
"--- market producers, fixed capital formation",2024K2,330554
"--- market producers, fixed capital formation",2024K3,289439
"--- market producers, fixed capital formation",2024K4,362580
"--- market producers, fixed capital formation",2025K1,283669
"--- market producers, fixed capital formation",2025K2,342737
"--- market producers, fixed capital formation",2025K3,291731
"--- market producers, fixed capital formation",2025K4,366053
"--- market producers, fixed capital formation",2026K1,291840
--- NPISH fixed capital formation,1980K1,NA
--- NPISH fixed capital formation,1980K2,NA
--- NPISH fixed capital formation,1980K3,NA
--- NPISH fixed capital formation,1980K4,NA
--- NPISH fixed capital formation,1981K1,820
--- NPISH fixed capital formation,1981K2,890
--- NPISH fixed capital formation,1981K3,835
--- NPISH fixed capital formation,1981K4,875
--- NPISH fixed capital formation,1982K1,836
--- NPISH fixed capital formation,1982K2,904
--- NPISH fixed capital formation,1982K3,849
--- NPISH fixed capital formation,1982K4,890
--- NPISH fixed capital formation,1983K1,863
--- NPISH fixed capital formation,1983K2,936
--- NPISH fixed capital formation,1983K3,880
--- NPISH fixed capital formation,1983K4,932
--- NPISH fixed capital formation,1984K1,864
--- NPISH fixed capital formation,1984K2,956
--- NPISH fixed capital formation,1984K3,900
--- NPISH fixed capital formation,1984K4,959
--- NPISH fixed capital formation,1985K1,888
--- NPISH fixed capital formation,1985K2,965
--- NPISH fixed capital formation,1985K3,903
--- NPISH fixed capital formation,1985K4,954
--- NPISH fixed capital formation,1986K1,920
--- NPISH fixed capital formation,1986K2,1014
--- NPISH fixed capital formation,1986K3,953
--- NPISH fixed capital formation,1986K4,1011
--- NPISH fixed capital formation,1987K1,975
--- NPISH fixed capital formation,1987K2,1058
--- NPISH fixed capital formation,1987K3,992
--- NPISH fixed capital formation,1987K4,1047
--- NPISH fixed capital formation,1988K1,1002
--- NPISH fixed capital formation,1988K2,1090
--- NPISH fixed capital formation,1988K3,1025
--- NPISH fixed capital formation,1988K4,1076
--- NPISH fixed capital formation,1989K1,1037
--- NPISH fixed capital formation,1989K2,1132
--- NPISH fixed capital formation,1989K3,1061
--- NPISH fixed capital formation,1989K4,1114
--- NPISH fixed capital formation,1990K1,1080
--- NPISH fixed capital formation,1990K2,1169
--- NPISH fixed capital formation,1990K3,1097
--- NPISH fixed capital formation,1990K4,1153
--- NPISH fixed capital formation,1991K1,1136
--- NPISH fixed capital formation,1991K2,1231
--- NPISH fixed capital formation,1991K3,1154
--- NPISH fixed capital formation,1991K4,1213
--- NPISH fixed capital formation,1992K1,1150
--- NPISH fixed capital formation,1992K2,1247
--- NPISH fixed capital formation,1992K3,1172
--- NPISH fixed capital formation,1992K4,1233
--- NPISH fixed capital formation,1993K1,1375
--- NPISH fixed capital formation,1993K2,1394
--- NPISH fixed capital formation,1993K3,1397
--- NPISH fixed capital formation,1993K4,1499
--- NPISH fixed capital formation,1994K1,1008
--- NPISH fixed capital formation,1994K2,1237
--- NPISH fixed capital formation,1994K3,1065
--- NPISH fixed capital formation,1994K4,1201
--- NPISH fixed capital formation,1995K1,1081
--- NPISH fixed capital formation,1995K2,1499
--- NPISH fixed capital formation,1995K3,1129
--- NPISH fixed capital formation,1995K4,1245
--- NPISH fixed capital formation,1996K1,919
--- NPISH fixed capital formation,1996K2,1128
--- NPISH fixed capital formation,1996K3,981
--- NPISH fixed capital formation,1996K4,1053
--- NPISH fixed capital formation,1997K1,925
--- NPISH fixed capital formation,1997K2,1151
--- NPISH fixed capital formation,1997K3,973
--- NPISH fixed capital formation,1997K4,1052
--- NPISH fixed capital formation,1998K1,893
--- NPISH fixed capital formation,1998K2,1115
--- NPISH fixed capital formation,1998K3,959
--- NPISH fixed capital formation,1998K4,1036
--- NPISH fixed capital formation,1999K1,861
--- NPISH fixed capital formation,1999K2,1036
--- NPISH fixed capital formation,1999K3,1011
--- NPISH fixed capital formation,1999K4,1101
--- NPISH fixed capital formation,2000K1,1534
--- NPISH fixed capital formation,2000K2,1692
--- NPISH fixed capital formation,2000K3,1605
--- NPISH fixed capital formation,2000K4,2021
--- NPISH fixed capital formation,2001K1,1497
--- NPISH fixed capital formation,2001K2,1799
--- NPISH fixed capital formation,2001K3,1597
--- NPISH fixed capital formation,2001K4,2074
--- NPISH fixed capital formation,2002K1,1472
--- NPISH fixed capital formation,2002K2,1704
--- NPISH fixed capital formation,2002K3,1518
--- NPISH fixed capital formation,2002K4,1852
--- NPISH fixed capital formation,2003K1,1356
--- NPISH fixed capital formation,2003K2,1594
--- NPISH fixed capital formation,2003K3,1594
--- NPISH fixed capital formation,2003K4,1758
--- NPISH fixed capital formation,2004K1,1406
--- NPISH fixed capital formation,2004K2,1625
--- NPISH fixed capital formation,2004K3,1452
--- NPISH fixed capital formation,2004K4,1743
--- NPISH fixed capital formation,2005K1,1398
--- NPISH fixed capital formation,2005K2,1616
--- NPISH fixed capital formation,2005K3,1462
--- NPISH fixed capital formation,2005K4,1701
--- NPISH fixed capital formation,2006K1,1386
--- NPISH fixed capital formation,2006K2,1661
--- NPISH fixed capital formation,2006K3,1482
--- NPISH fixed capital formation,2006K4,1737
--- NPISH fixed capital formation,2007K1,1492
--- NPISH fixed capital formation,2007K2,1654
--- NPISH fixed capital formation,2007K3,1475
--- NPISH fixed capital formation,2007K4,1691
--- NPISH fixed capital formation,2008K1,1513
--- NPISH fixed capital formation,2008K2,1641
--- NPISH fixed capital formation,2008K3,1484
--- NPISH fixed capital formation,2008K4,1757
--- NPISH fixed capital formation,2009K1,1341
--- NPISH fixed capital formation,2009K2,1446
--- NPISH fixed capital formation,2009K3,1258
--- NPISH fixed capital formation,2009K4,1496
--- NPISH fixed capital formation,2010K1,1253
--- NPISH fixed capital formation,2010K2,1558
--- NPISH fixed capital formation,2010K3,1274
--- NPISH fixed capital formation,2010K4,1603
--- NPISH fixed capital formation,2011K1,1354
--- NPISH fixed capital formation,2011K2,1318
--- NPISH fixed capital formation,2011K3,1216
--- NPISH fixed capital formation,2011K4,1687
--- NPISH fixed capital formation,2012K1,1449
--- NPISH fixed capital formation,2012K2,1412
--- NPISH fixed capital formation,2012K3,1307
--- NPISH fixed capital formation,2012K4,1810
--- NPISH fixed capital formation,2013K1,1771
--- NPISH fixed capital formation,2013K2,1447
--- NPISH fixed capital formation,2013K3,1738
--- NPISH fixed capital formation,2013K4,2193
--- NPISH fixed capital formation,2014K1,1540
--- NPISH fixed capital formation,2014K2,1695
--- NPISH fixed capital formation,2014K3,1707
--- NPISH fixed capital formation,2014K4,2347
--- NPISH fixed capital formation,2015K1,1502
--- NPISH fixed capital formation,2015K2,1307
--- NPISH fixed capital formation,2015K3,1595
--- NPISH fixed capital formation,2015K4,2474
--- NPISH fixed capital formation,2016K1,1617
--- NPISH fixed capital formation,2016K2,1525
--- NPISH fixed capital formation,2016K3,1494
--- NPISH fixed capital formation,2016K4,2480
--- NPISH fixed capital formation,2017K1,1521
--- NPISH fixed capital formation,2017K2,1274
--- NPISH fixed capital formation,2017K3,1614
--- NPISH fixed capital formation,2017K4,3115
--- NPISH fixed capital formation,2018K1,1416
--- NPISH fixed capital formation,2018K2,1577
--- NPISH fixed capital formation,2018K3,1533
--- NPISH fixed capital formation,2018K4,2022
--- NPISH fixed capital formation,2019K1,1396
--- NPISH fixed capital formation,2019K2,1411
--- NPISH fixed capital formation,2019K3,1466
--- NPISH fixed capital formation,2019K4,2332
--- NPISH fixed capital formation,2020K1,1300
--- NPISH fixed capital formation,2020K2,1569
--- NPISH fixed capital formation,2020K3,2018
--- NPISH fixed capital formation,2020K4,2398
--- NPISH fixed capital formation,2021K1,2399
--- NPISH fixed capital formation,2021K2,1747
--- NPISH fixed capital formation,2021K3,1747
--- NPISH fixed capital formation,2021K4,3014
--- NPISH fixed capital formation,2022K1,872
--- NPISH fixed capital formation,2022K2,1195
--- NPISH fixed capital formation,2022K3,1474
--- NPISH fixed capital formation,2022K4,2059
--- NPISH fixed capital formation,2023K1,938
--- NPISH fixed capital formation,2023K2,1342
--- NPISH fixed capital formation,2023K3,1340
--- NPISH fixed capital formation,2023K4,2395
--- NPISH fixed capital formation,2024K1,1017
--- NPISH fixed capital formation,2024K2,1992
--- NPISH fixed capital formation,2024K3,1663
--- NPISH fixed capital formation,2024K4,3440
--- NPISH fixed capital formation,2025K1,1088
--- NPISH fixed capital formation,2025K2,1906
--- NPISH fixed capital formation,2025K3,1964
--- NPISH fixed capital formation,2025K4,3755
--- NPISH fixed capital formation,2026K1,1155
"--- central government, fixed capital formation",1980K1,NA
"--- central government, fixed capital formation",1980K2,NA
"--- central government, fixed capital formation",1980K3,NA
"--- central government, fixed capital formation",1980K4,NA
"--- central government, fixed capital formation",1981K1,14991
"--- central government, fixed capital formation",1981K2,15835
"--- central government, fixed capital formation",1981K3,13619
"--- central government, fixed capital formation",1981K4,14728
"--- central government, fixed capital formation",1982K1,15133
"--- central government, fixed capital formation",1982K2,15293
"--- central government, fixed capital formation",1982K3,14192
"--- central government, fixed capital formation",1982K4,15090
"--- central government, fixed capital formation",1983K1,15640
"--- central government, fixed capital formation",1983K2,15783
"--- central government, fixed capital formation",1983K3,13721
"--- central government, fixed capital formation",1983K4,14973
"--- central government, fixed capital formation",1984K1,16431
"--- central government, fixed capital formation",1984K2,16751
"--- central government, fixed capital formation",1984K3,14445
"--- central government, fixed capital formation",1984K4,15224
"--- central government, fixed capital formation",1985K1,16791
"--- central government, fixed capital formation",1985K2,17072
"--- central government, fixed capital formation",1985K3,14544
"--- central government, fixed capital formation",1985K4,15827
"--- central government, fixed capital formation",1986K1,15787
"--- central government, fixed capital formation",1986K2,16236
"--- central government, fixed capital formation",1986K3,15900
"--- central government, fixed capital formation",1986K4,17162
"--- central government, fixed capital formation",1987K1,16340
"--- central government, fixed capital formation",1987K2,17094
"--- central government, fixed capital formation",1987K3,17483
"--- central government, fixed capital formation",1987K4,18317
"--- central government, fixed capital formation",1988K1,17703
"--- central government, fixed capital formation",1988K2,18357
"--- central government, fixed capital formation",1988K3,17342
"--- central government, fixed capital formation",1988K4,18545
"--- central government, fixed capital formation",1989K1,20339
"--- central government, fixed capital formation",1989K2,21584
"--- central government, fixed capital formation",1989K3,20419
"--- central government, fixed capital formation",1989K4,21557
"--- central government, fixed capital formation",1990K1,22919
"--- central government, fixed capital formation",1990K2,23993
"--- central government, fixed capital formation",1990K3,19862
"--- central government, fixed capital formation",1990K4,21109
"--- central government, fixed capital formation",1991K1,22519
"--- central government, fixed capital formation",1991K2,24258
"--- central government, fixed capital formation",1991K3,19950
"--- central government, fixed capital formation",1991K4,22849
"--- central government, fixed capital formation",1992K1,22650
"--- central government, fixed capital formation",1992K2,26280
"--- central government, fixed capital formation",1992K3,22292
"--- central government, fixed capital formation",1992K4,24533
"--- central government, fixed capital formation",1993K1,27554
"--- central government, fixed capital formation",1993K2,29662
"--- central government, fixed capital formation",1993K3,25070
"--- central government, fixed capital formation",1993K4,25868
"--- central government, fixed capital formation",1994K1,29319
"--- central government, fixed capital formation",1994K2,32747
"--- central government, fixed capital formation",1994K3,29313
"--- central government, fixed capital formation",1994K4,32455
"--- central government, fixed capital formation",1995K1,27679
"--- central government, fixed capital formation",1995K2,29202
"--- central government, fixed capital formation",1995K3,28311
"--- central government, fixed capital formation",1995K4,29792
"--- central government, fixed capital formation",1996K1,24091
"--- central government, fixed capital formation",1996K2,25577
"--- central government, fixed capital formation",1996K3,32890
"--- central government, fixed capital formation",1996K4,34542
"--- central government, fixed capital formation",1997K1,23037
"--- central government, fixed capital formation",1997K2,25188
"--- central government, fixed capital formation",1997K3,28418
"--- central government, fixed capital formation",1997K4,28815
"--- central government, fixed capital formation",1998K1,24674
"--- central government, fixed capital formation",1998K2,27864
"--- central government, fixed capital formation",1998K3,27998
"--- central government, fixed capital formation",1998K4,32708
"--- central government, fixed capital formation",1999K1,25140
"--- central government, fixed capital formation",1999K2,28203
"--- central government, fixed capital formation",1999K3,26767
"--- central government, fixed capital formation",1999K4,38900
"--- central government, fixed capital formation",2000K1,22742
"--- central government, fixed capital formation",2000K2,26367
"--- central government, fixed capital formation",2000K3,22979
"--- central government, fixed capital formation",2000K4,34488
"--- central government, fixed capital formation",2001K1,21401
"--- central government, fixed capital formation",2001K2,26155
"--- central government, fixed capital formation",2001K3,24370
"--- central government, fixed capital formation",2001K4,38878
"--- central government, fixed capital formation",2002K1,22312
"--- central government, fixed capital formation",2002K2,31194
"--- central government, fixed capital formation",2002K3,24891
"--- central government, fixed capital formation",2002K4,38654
"--- central government, fixed capital formation",2003K1,24314
"--- central government, fixed capital formation",2003K2,33320
"--- central government, fixed capital formation",2003K3,25097
"--- central government, fixed capital formation",2003K4,37396
"--- central government, fixed capital formation",2004K1,25823
"--- central government, fixed capital formation",2004K2,34362
"--- central government, fixed capital formation",2004K3,26001
"--- central government, fixed capital formation",2004K4,39126
"--- central government, fixed capital formation",2005K1,24748
"--- central government, fixed capital formation",2005K2,28948
"--- central government, fixed capital formation",2005K3,16929
"--- central government, fixed capital formation",2005K4,37167
"--- central government, fixed capital formation",2006K1,19730
"--- central government, fixed capital formation",2006K2,37653
"--- central government, fixed capital formation",2006K3,22783
"--- central government, fixed capital formation",2006K4,38198
"--- central government, fixed capital formation",2007K1,24236
"--- central government, fixed capital formation",2007K2,34100
"--- central government, fixed capital formation",2007K3,23195
"--- central government, fixed capital formation",2007K4,38127
"--- central government, fixed capital formation",2008K1,26941
"--- central government, fixed capital formation",2008K2,33862
"--- central government, fixed capital formation",2008K3,23600
"--- central government, fixed capital formation",2008K4,41065
"--- central government, fixed capital formation",2009K1,25232
"--- central government, fixed capital formation",2009K2,36249
"--- central government, fixed capital formation",2009K3,25889
"--- central government, fixed capital formation",2009K4,39087
"--- central government, fixed capital formation",2010K1,26572
"--- central government, fixed capital formation",2010K2,36176
"--- central government, fixed capital formation",2010K3,28437
"--- central government, fixed capital formation",2010K4,45240
"--- central government, fixed capital formation",2011K1,27849
"--- central government, fixed capital formation",2011K2,36661
"--- central government, fixed capital formation",2011K3,28721
"--- central government, fixed capital formation",2011K4,40214
"--- central government, fixed capital formation",2012K1,28447
"--- central government, fixed capital formation",2012K2,34994
"--- central government, fixed capital formation",2012K3,29994
"--- central government, fixed capital formation",2012K4,39472
"--- central government, fixed capital formation",2013K1,25975
"--- central government, fixed capital formation",2013K2,33358
"--- central government, fixed capital formation",2013K3,29590
"--- central government, fixed capital formation",2013K4,40111
"--- central government, fixed capital formation",2014K1,26052
"--- central government, fixed capital formation",2014K2,34462
"--- central government, fixed capital formation",2014K3,28967
"--- central government, fixed capital formation",2014K4,36003
"--- central government, fixed capital formation",2015K1,25212
"--- central government, fixed capital formation",2015K2,33333
"--- central government, fixed capital formation",2015K3,27716
"--- central government, fixed capital formation",2015K4,35573
"--- central government, fixed capital formation",2016K1,27092
"--- central government, fixed capital formation",2016K2,33077
"--- central government, fixed capital formation",2016K3,28894
"--- central government, fixed capital formation",2016K4,41052
"--- central government, fixed capital formation",2017K1,26292
"--- central government, fixed capital formation",2017K2,36088
"--- central government, fixed capital formation",2017K3,30216
"--- central government, fixed capital formation",2017K4,40623
"--- central government, fixed capital formation",2018K1,29488
"--- central government, fixed capital formation",2018K2,33040
"--- central government, fixed capital formation",2018K3,33000
"--- central government, fixed capital formation",2018K4,39449
"--- central government, fixed capital formation",2019K1,29850
"--- central government, fixed capital formation",2019K2,33881
"--- central government, fixed capital formation",2019K3,35163
"--- central government, fixed capital formation",2019K4,41117
"--- central government, fixed capital formation",2020K1,33903
"--- central government, fixed capital formation",2020K2,40275
"--- central government, fixed capital formation",2020K3,38981
"--- central government, fixed capital formation",2020K4,48587
"--- central government, fixed capital formation",2021K1,34159
"--- central government, fixed capital formation",2021K2,38679
"--- central government, fixed capital formation",2021K3,36652
"--- central government, fixed capital formation",2021K4,52110
"--- central government, fixed capital formation",2022K1,32475
"--- central government, fixed capital formation",2022K2,37412
"--- central government, fixed capital formation",2022K3,38168
"--- central government, fixed capital formation",2022K4,54851
"--- central government, fixed capital formation",2023K1,33934
"--- central government, fixed capital formation",2023K2,42230
"--- central government, fixed capital formation",2023K3,41587
"--- central government, fixed capital formation",2023K4,53550
"--- central government, fixed capital formation",2024K1,39620
"--- central government, fixed capital formation",2024K2,41101
"--- central government, fixed capital formation",2024K3,42470
"--- central government, fixed capital formation",2024K4,53342
"--- central government, fixed capital formation",2025K1,39616
"--- central government, fixed capital formation",2025K2,44322
"--- central government, fixed capital formation",2025K3,46022
"--- central government, fixed capital formation",2025K4,75731
"--- central government, fixed capital formation",2026K1,52048
--- local government gross fixed capital formation,1980K1,NA
--- local government gross fixed capital formation,1980K2,NA
--- local government gross fixed capital formation,1980K3,NA
--- local government gross fixed capital formation,1980K4,NA
--- local government gross fixed capital formation,1981K1,13961
--- local government gross fixed capital formation,1981K2,16308
--- local government gross fixed capital formation,1981K3,15768
--- local government gross fixed capital formation,1981K4,19497
--- local government gross fixed capital formation,1982K1,13329
--- local government gross fixed capital formation,1982K2,15082
--- local government gross fixed capital formation,1982K3,14261
--- local government gross fixed capital formation,1982K4,19724
--- local government gross fixed capital formation,1983K1,12899
--- local government gross fixed capital formation,1983K2,15051
--- local government gross fixed capital formation,1983K3,13817
--- local government gross fixed capital formation,1983K4,19439
--- local government gross fixed capital formation,1984K1,12647
--- local government gross fixed capital formation,1984K2,14241
--- local government gross fixed capital formation,1984K3,13353
--- local government gross fixed capital formation,1984K4,19258
--- local government gross fixed capital formation,1985K1,12234
--- local government gross fixed capital formation,1985K2,13757
--- local government gross fixed capital formation,1985K3,13947
--- local government gross fixed capital formation,1985K4,20176
--- local government gross fixed capital formation,1986K1,13154
--- local government gross fixed capital formation,1986K2,14684
--- local government gross fixed capital formation,1986K3,14263
--- local government gross fixed capital formation,1986K4,18868
--- local government gross fixed capital formation,1987K1,12135
