type of use,quarter,"Constant prices, reference year 2025, SEK million"
-- imports of goods,1995K2,159599
-- imports of goods,1995K3,150183
-- imports of goods,1995K4,174995
-- imports of goods,1996K1,162329
-- imports of goods,1996K2,163170
-- imports of goods,1996K3,154127
-- imports of goods,1996K4,182102
-- imports of goods,1997K1,171254
-- imports of goods,1997K2,187775
-- imports of goods,1997K3,173250
-- imports of goods,1997K4,203412
-- imports of goods,1998K1,198805
-- imports of goods,1998K2,201826
-- imports of goods,1998K3,192094
-- imports of goods,1998K4,219291
-- imports of goods,1999K1,203794
-- imports of goods,1999K2,208755
-- imports of goods,1999K3,201455
-- imports of goods,1999K4,234003
-- imports of goods,2000K1,228821
-- imports of goods,2000K2,239593
-- imports of goods,2000K3,233872
-- imports of goods,2000K4,257921
-- imports of goods,2001K1,243556
-- imports of goods,2001K2,229546
-- imports of goods,2001K3,210922
-- imports of goods,2001K4,237707
-- imports of goods,2002K1,229570
-- imports of goods,2002K2,232994
-- imports of goods,2002K3,213821
-- imports of goods,2002K4,245803
-- imports of goods,2003K1,241821
-- imports of goods,2003K2,241322
-- imports of goods,2003K3,227589
-- imports of goods,2003K4,259608
-- imports of goods,2004K1,252159
-- imports of goods,2004K2,262146
-- imports of goods,2004K3,251499
-- imports of goods,2004K4,283161
-- imports of goods,2005K1,265017
-- imports of goods,2005K2,286285
-- imports of goods,2005K3,265453
-- imports of goods,2005K4,308291
-- imports of goods,2006K1,295257
-- imports of goods,2006K2,301555
-- imports of goods,2006K3,291702
-- imports of goods,2006K4,336377
-- imports of goods,2007K1,331950
-- imports of goods,2007K2,330227
-- imports of goods,2007K3,328019
-- imports of goods,2007K4,357891
-- imports of goods,2008K1,346877
-- imports of goods,2008K2,366609
-- imports of goods,2008K3,330169
-- imports of goods,2008K4,328997
-- imports of goods,2009K1,283942
-- imports of goods,2009K2,269849
-- imports of goods,2009K3,276466
-- imports of goods,2009K4,313222
-- imports of goods,2010K1,310414
-- imports of goods,2010K2,342503
-- imports of goods,2010K3,332092
-- imports of goods,2010K4,363715
-- imports of goods,2011K1,358299
-- imports of goods,2011K2,373909
-- imports of goods,2011K3,350534
-- imports of goods,2011K4,373590
